year,season,fishery,area,index
1952,1,29,1,2.25122940636301e-06
1952,2,29,1,1.51062958369615e-06
1952,3,29,1,3.04089034542611e-06
1952,4,29,1,2.904300685536e-06
1953,1,29,1,2.66633465395382e-06
1953,2,29,1,1.40188121777484e-06
1953,3,29,1,2.04483906766485e-06
1953,4,29,1,2.30705610180346e-06
1954,1,29,1,1.7285220770148e-06
1954,2,29,1,1.63213396201713e-06
1954,3,29,1,1.9549364584587e-06
1954,4,29,1,2.6307148199314e-06
1955,1,29,1,2.16474444412495e-06
1955,2,29,1,1.52015302939262e-06
1955,3,29,1,1.98350747614895e-06
1955,4,29,1,2.69871545837365e-06
1956,1,29,1,2.18578871323483e-06
1956,2,29,1,1.33453108937505e-06
1956,3,29,1,1.8354471700021e-06
1956,4,29,1,3.01412840740851e-06
1957,1,29,1,2.90430215888557e-06
1957,2,29,1,1.27570284393472e-06
1957,3,29,1,1.4800559862513e-06
1957,4,29,1,2.34086661993247e-06
1958,1,29,1,2.32802971813801e-06
1958,2,29,1,2.09580270058314e-06
1958,3,29,1,1.96540174626031e-06
1958,4,29,1,2.79292305103394e-06
1959,1,29,1,1.87955676307798e-06
1959,2,29,1,1.12507202611689e-06
1959,3,29,1,1.10924148750949e-06
1959,4,29,1,2.03614123885831e-06
1960,1,29,1,1.9596540319038e-06
1960,2,29,1,1.0558646907284e-06
1960,3,29,1,9.00061725991578e-07
1960,4,29,1,1.88027193411242e-06
1961,1,29,1,1.9319735133017e-06
1961,2,29,1,1.05764697401542e-06
1961,3,29,1,9.72799030016457e-07
1961,4,29,1,2.33476068137984e-06
1962,1,29,1,1.4984539188037e-06
1962,2,29,1,1.03800626598227e-06
1962,3,29,1,1.03043553003435e-06
1962,4,29,1,1.34716411138635e-06
1963,1,29,1,1.4467180258741e-06
1963,2,29,1,9.34052989918639e-07
1963,3,29,1,7.52764594222173e-07
1963,4,29,1,1.23266746467414e-06
1964,1,29,1,1.3350865736217e-06
1964,2,29,1,6.77124797356014e-07
1964,3,29,1,5.18777689987744e-07
1964,4,29,1,1.20396323089858e-06
1965,1,29,1,1.08618924631124e-06
1965,2,29,1,6.59325701429021e-07
1965,3,29,1,6.25937270560768e-07
1965,4,29,1,1.11267211908228e-06
1966,1,29,1,1.50844756789099e-06
1966,2,29,1,5.70137975801353e-07
1966,3,29,1,1.10207574617138e-06
1966,4,29,1,1.34097086400333e-06
1967,1,29,1,1.37459353318873e-06
1967,2,29,1,6.25895034136563e-07
1967,3,29,1,6.78703561286193e-07
1967,4,29,1,1.04024280362345e-06
1968,1,29,1,9.18857887785099e-07
1968,2,29,1,4.31626430884129e-07
1968,3,29,1,4.31165344823163e-07
1968,4,29,1,1.10001389756141e-06
1969,1,29,1,1.11149415369333e-06
1969,2,29,1,4.35834887673005e-07
1969,3,29,1,7.2869951380614e-07
1969,4,29,1,1.10197116296178e-06
1970,1,29,1,8.36002331834616e-07
1970,2,29,1,4.4904621459363e-07
1970,3,29,1,5.15598464068049e-07
1970,4,29,1,8.67718561660156e-07
1971,1,29,1,6.45949466365669e-07
1971,2,29,1,4.02393535340684e-07
1971,3,29,1,5.42898041278917e-07
1971,4,29,1,1.14660167383529e-06
1972,1,29,1,9.84796080855339e-07
1972,2,29,1,5.14923089792758e-07
1972,3,29,1,6.43560993808783e-07
1972,4,29,1,1.12117513010236e-06
1973,1,29,1,9.18553869715858e-07
1973,2,29,1,6.09659657914206e-07
1973,3,29,1,3.71947062999491e-07
1973,4,29,1,6.45658653292065e-07
1974,1,29,1,6.30138747166714e-07
1974,2,29,1,5.16413487924999e-07
1974,3,29,1,5.4972593616588e-07
1974,4,29,1,8.04525148201444e-07
1975,1,29,1,7.90717011392295e-07
1975,2,29,1,4.57603549784081e-07
1975,3,29,1,4.82270055081231e-07
1975,4,29,1,1.06967863120468e-06
1976,1,29,1,8.01460231435172e-07
1976,2,29,1,6.59408776122387e-07
1976,3,29,1,6.62764460652832e-07
1976,4,29,1,8.95670151743173e-07
1977,1,29,1,8.99958824591972e-07
1977,2,29,1,7.79240928752989e-07
1977,3,29,1,9.54160286905709e-07
1977,4,29,1,1.68939346128432e-06
1978,1,29,1,9.58393438262806e-07
1978,2,29,1,5.60016215081274e-07
1978,3,29,1,6.36744797145759e-07
1978,4,29,1,1.07133076079225e-06
1979,1,29,1,8.13809530801501e-07
1979,2,29,1,5.93294954973399e-07
