fishery,code,area,gear_long,sel_group,sel_form,sel_nodes
1,01.LL.WEST.1,1,LL,1,Cubic spline,5
2,02.LL.EAST.1,1,LL,2,Cubic spline,5
3,03.LL.US.1,1,LL,3,Cubic spline,5
4,04.LL.ALL.2,2,LL,4,Cubic spline,5
5,05.LL.OS.2,2,LL,5,Cubic spline,5
6,06.LL.ARCH.3,3,LL,6,Cubic spline,5
7,07.LL.WEST.3,3,LL,7,Cubic spline,5
8,08.LL.EAST.4,4,LL,8,Cubic spline,5
9,09.LL.OS.3,3,LL,9,Cubic spline,5
10,10.LL.ALL.5,5,LL,10,Cubic spline,5
11,11.LL.AU.5,5,LL,11,Cubic spline,5
12,12.PS.JP.1,1,PS,12,Cubic spline,5
13,13.PL.JP.1,1,PL,13,Cubic spline,5
14,14.HL.ID.2,2,HL,14,Cubic spline,5
15,15.HL.PH.2,2,HL,15,Cubic spline,5
16,16.PL.ALL.2,2,PL,16,Cubic spline,5
17,17.PS.ID.2,2,PS,17,Cubic spline,5
18,18.PS.PH.2,2,PS,18,Cubic spline,5
19,19.PS.ASS.2,2,PS ASS,19,Cubic spline,5
20,20.PS.UNA.2,2,PS UNASS,20,Cubic spline,5
21,21.DOM.ID.2,2,DOM,21,Cubic spline,5
22,22.DOM.PH.2,2,DOM,22,Cubic spline,5
23,23.DOM.VN.2,2,DOM,23,Cubic spline,5
24,24.PL.ALL.WEST.3,3,PL,24,Cubic spline,5
25,25.PS.ASS.WEST.3,3,PS ASS,25,Cubic spline,7
26,26.PS.ASS.EAST.4,4,PS ASS,26,Cubic spline,7
27,27.PS.UNA.WEST.3,3,PS UNASS,27,Cubic spline,5
28,28.PS.UNA.EAST.4,4,PS UNASS,28,Cubic spline,5
29,29.Index R1,1,Index,29,Cubic spline,5
30,30.Index R2,2,Index,30,Cubic spline,5
31,31.Index R3,3,Index,31,Cubic spline,5
32,32.Index R4,4,Index,32,Cubic spline,5
33,33.Index R5,5,Index,33,Cubic spline,5
