rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,2,1990,3,RTTP,34,19,1991,4,1
1,2,1990,3,RTTP,38,25,1991,2,1
1,2,1990,3,RTTP,40,16,1991,2,1
1,2,1990,3,RTTP,44,4,1991,3,1
1,2,1990,3,RTTP,48,19,1991,1,1
1,2,1990,3,RTTP,50,19,1990,4,1
2,2,1991,1,RTTP,30,16,1991,1,1
2,2,1991,1,RTTP,32,16,1991,1,1
2,2,1991,1,RTTP,32,16,1991,2,1
2,2,1991,1,RTTP,32,16,1991,4,1
2,2,1991,1,RTTP,38,16,1991,1,1
2,2,1991,1,RTTP,38,16,1991,2,2
2,2,1991,1,RTTP,42,14,1991,1,1
3,2,1991,2,RTTP,34,25,1992,2,1
3,2,1991,2,RTTP,38,19,1991,2,1
3,2,1991,2,RTTP,42,22,1992,3,1
4,2,1992,3,RTTP,24,19,1992,3,3
4,2,1992,3,RTTP,24,19,1992,4,1
4,2,1992,3,RTTP,24,22,1992,3,1
4,2,1992,3,RTTP,24,22,1992,4,1
4,2,1992,3,RTTP,26,19,1992,3,10
4,2,1992,3,RTTP,26,22,1992,3,3
4,2,1992,3,RTTP,26,22,1992,4,1
4,2,1992,3,RTTP,28,19,1992,3,107
4,2,1992,3,RTTP,28,19,1992,4,3
4,2,1992,3,RTTP,28,19,1993,1,1
4,2,1992,3,RTTP,28,22,1992,3,2
4,2,1992,3,RTTP,28,22,1992,4,1
4,2,1992,3,RTTP,30,15,1992,3,1
4,2,1992,3,RTTP,30,19,1992,3,58
4,2,1992,3,RTTP,30,19,1992,4,9
4,2,1992,3,RTTP,30,19,1993,1,1
4,2,1992,3,RTTP,30,22,1992,3,4
4,2,1992,3,RTTP,30,22,1992,4,1
4,2,1992,3,RTTP,32,19,1992,3,10
4,2,1992,3,RTTP,32,19,1992,4,1
4,2,1992,3,RTTP,32,22,1992,3,3
4,2,1992,3,RTTP,32,22,1992,4,3
4,2,1992,3,RTTP,32,22,1993,2,1
4,2,1992,3,RTTP,34,19,1992,3,10
4,2,1992,3,RTTP,34,19,1992,4,1
4,2,1992,3,RTTP,34,22,1992,3,4
4,2,1992,3,RTTP,34,22,1992,4,2
4,2,1992,3,RTTP,36,19,1992,3,3
4,2,1992,3,RTTP,36,19,1992,4,1
4,2,1992,3,RTTP,36,19,1993,1,1
4,2,1992,3,RTTP,36,22,1992,3,1
4,2,1992,3,RTTP,38,16,1992,3,1
4,2,1992,3,RTTP,44,19,1992,3,1
5,2,1992,4,RTTP,26,19,1992,4,2
5,2,1992,4,RTTP,26,19,1993,1,2
5,2,1992,4,RTTP,28,19,1992,4,7
5,2,1992,4,RTTP,28,19,1993,1,1
5,2,1992,4,RTTP,30,19,1992,4,4
5,2,1992,4,RTTP,30,19,1993,2,1
5,2,1992,4,RTTP,32,19,1992,4,9
5,2,1992,4,RTTP,34,19,1992,4,6
5,2,1992,4,RTTP,36,15,1992,4,1
5,2,1992,4,RTTP,36,19,1992,4,23
5,2,1992,4,RTTP,36,19,1993,1,2
5,2,1992,4,RTTP,36,22,1993,2,1
5,2,1992,4,RTTP,38,19,1992,4,24
5,2,1992,4,RTTP,38,19,1993,1,1
5,2,1992,4,RTTP,40,15,1992,4,1
5,2,1992,4,RTTP,40,19,1992,4,7
5,2,1992,4,RTTP,40,19,1993,1,1
5,2,1992,4,RTTP,40,22,1992,4,1
5,2,1992,4,RTTP,42,15,1992,4,1
5,2,1992,4,RTTP,42,19,1992,4,3
5,2,1992,4,RTTP,46,19,1992,4,2
5,2,1992,4,RTTP,46,22,1992,4,1
5,2,1992,4,RTTP,48,19,1992,4,1
6,3,1989,4,RTTP,36,25,1990,1,1
6,3,1989,4,RTTP,36,25,1990,2,1
6,3,1989,4,RTTP,38,25,1990,1,3
6,3,1989,4,RTTP,38,25,1991,4,1
6,3,1989,4,RTTP,46,25,1990,1,1
6,3,1989,4,RTTP,48,7,1992,1,1
7,3,1990,1,RTTP,46,25,1990,4,1
7,3,1990,1,RTTP,48,17,1990,3,1
7,3,1990,1,RTTP,48,25,1990,2,3
7,3,1990,1,RTTP,48,25,1990,3,6
7,3,1990,1,RTTP,48,25,1990,4,4
7,3,1990,1,RTTP,48,25,1991,2,2
7,3,1990,1,RTTP,50,25,1990,2,1
7,3,1990,1,RTTP,50,25,1990,3,2
7,3,1990,1,RTTP,50,25,1990,4,1
7,3,1990,1,RTTP,50,27,1990,2,1
