rel.group,area,year,season,program,length,lendist
1,2,1990,3,RTTP,10,0
1,2,1990,3,RTTP,12,0
1,2,1990,3,RTTP,14,0
1,2,1990,3,RTTP,16,0
1,2,1990,3,RTTP,18,0
1,2,1990,3,RTTP,20,0
1,2,1990,3,RTTP,22,0
1,2,1990,3,RTTP,24,0
1,2,1990,3,RTTP,26,0
1,2,1990,3,RTTP,28,0
1,2,1990,3,RTTP,30,0
1,2,1990,3,RTTP,32,0
1,2,1990,3,RTTP,34,9.83922885554112
1,2,1990,3,RTTP,36,2.81120824444032
1,2,1990,3,RTTP,38,7.73082267221088
1,2,1990,3,RTTP,40,9.83922885554112
1,2,1990,3,RTTP,42,5.62241648888064
1,2,1990,3,RTTP,44,7.0280206111008
1,2,1990,3,RTTP,46,1.40560412222016
1,2,1990,3,RTTP,48,4.21681236666048
1,2,1990,3,RTTP,50,2.10840618333024
1,2,1990,3,RTTP,52,2.10840618333024
1,2,1990,3,RTTP,54,0
1,2,1990,3,RTTP,56,0.70280206111008
1,2,1990,3,RTTP,58,0.70280206111008
1,2,1990,3,RTTP,60,0
1,2,1990,3,RTTP,62,0.70280206111008
1,2,1990,3,RTTP,64,0
1,2,1990,3,RTTP,66,0
1,2,1990,3,RTTP,68,0
1,2,1990,3,RTTP,70,0
1,2,1990,3,RTTP,72,0
1,2,1990,3,RTTP,74,0
1,2,1990,3,RTTP,76,0
1,2,1990,3,RTTP,78,0
1,2,1990,3,RTTP,80,0
1,2,1990,3,RTTP,82,0
1,2,1990,3,RTTP,84,0
1,2,1990,3,RTTP,86,0
1,2,1990,3,RTTP,88,0
1,2,1990,3,RTTP,90,0
1,2,1990,3,RTTP,92,0
1,2,1990,3,RTTP,94,0
1,2,1990,3,RTTP,96,0
1,2,1990,3,RTTP,98,0
1,2,1990,3,RTTP,100,0
1,2,1990,3,RTTP,102,0
1,2,1990,3,RTTP,104,0
1,2,1990,3,RTTP,106,0
1,2,1990,3,RTTP,108,0
1,2,1990,3,RTTP,110,0
1,2,1990,3,RTTP,112,0
1,2,1990,3,RTTP,114,0
1,2,1990,3,RTTP,116,0
1,2,1990,3,RTTP,118,0
1,2,1990,3,RTTP,120,0
1,2,1990,3,RTTP,122,0
1,2,1990,3,RTTP,124,0
1,2,1990,3,RTTP,126,0
1,2,1990,3,RTTP,128,0
1,2,1990,3,RTTP,130,0
1,2,1990,3,RTTP,132,0
1,2,1990,3,RTTP,134,0
1,2,1990,3,RTTP,136,0
1,2,1990,3,RTTP,138,0
1,2,1990,3,RTTP,140,0
1,2,1990,3,RTTP,142,0
1,2,1990,3,RTTP,144,0
1,2,1990,3,RTTP,146,0
1,2,1990,3,RTTP,148,0
1,2,1990,3,RTTP,150,0
1,2,1990,3,RTTP,152,0
1,2,1990,3,RTTP,154,0
1,2,1990,3,RTTP,156,0
1,2,1990,3,RTTP,158,0
1,2,1990,3,RTTP,160,0
1,2,1990,3,RTTP,162,0
1,2,1990,3,RTTP,164,0
1,2,1990,3,RTTP,166,0
1,2,1990,3,RTTP,168,0
1,2,1990,3,RTTP,170,0
1,2,1990,3,RTTP,172,0
1,2,1990,3,RTTP,174,0
1,2,1990,3,RTTP,176,0
1,2,1990,3,RTTP,178,0
1,2,1990,3,RTTP,180,0
1,2,1990,3,RTTP,182,0
1,2,1990,3,RTTP,184,0
1,2,1990,3,RTTP,186,0
1,2,1990,3,RTTP,188,0
1,2,1990,3,RTTP,190,0
1,2,1990,3,RTTP,192,0
1,2,1990,3,RTTP,194,0
1,2,1990,3,RTTP,196,0
1,2,1990,3,RTTP,198,0
2,2,1991,1,RTTP,10,0
2,2,1991,1,RTTP,12,0
2,2,1991,1,RTTP,14,0
2,2,1991,1,RTTP,16,0
2,2,1991,1,RTTP,18,0
2,2,1991,1,RTTP,20,0
2,2,1991,1,RTTP,22,0
2,2,1991,1,RTTP,24,0.778973283784428
2,2,1991,1,RTTP,26,1.55794656756886
2,2,1991,1,RTTP,28,2.33691985135328
2,2,1991,1,RTTP,30,2.33691985135328
2,2,1991,1,RTTP,32,7.01075955405985
2,2,1991,1,RTTP,34,9.34767940541313
2,2,1991,1,RTTP,36,4.67383970270657
2,2,1991,1,RTTP,38,6.23178627027542
2,2,1991,1,RTTP,40,0
2,2,1991,1,RTTP,42,1
2,2,1991,1,RTTP,44,0
2,2,1991,1,RTTP,46,0
2,2,1991,1,RTTP,48,0
2,2,1991,1,RTTP,50,0
2,2,1991,1,RTTP,52,0
2,2,1991,1,RTTP,54,1.55794656756886
2,2,1991,1,RTTP,56,0.778973283784428
2,2,1991,1,RTTP,58,0
2,2,1991,1,RTTP,60,0
2,2,1991,1,RTTP,62,0
