age,length,weight,maturity,natmort
1,25.6823,0.4465,0.000645377608674225,0.4759
2,37.8986,1.3598,0.000646033691808934,0.3225
3,49.0009,2.86,0.000653013326251117,0.2494
4,59.0909,4.929,0.00072632725130839,0.2069
5,68.2607,7.5054,0.00176363384315559,0.1791
6,76.5944,10.5062,0.00833060526970841,0.1596
7,84.1682,13.841,0.0338012008311536,0.1452
8,91.0513,17.4212,0.099201572182029,0.1342
9,97.3067,21.1642,0.209098094942957,0.1256
10,102.9918,24.997,0.34088733874213,0.1187
11,108.1584,28.8564,0.466879824419977,0.113
12,112.8539,32.6898,0.57201500175016,0.1083
13,117.1212,36.4544,0.653771138741055,0.1044
14,120.9994,40.1163,0.71566734715861,0.101
15,124.524,43.6494,0.762547648782375,0.0982
16,127.7271,47.0348,0.798623652420025,0.0957
17,130.6382,50.2593,0.827041574002463,0.0936
18,133.2838,53.3146,0.850004703881132,0.0917
19,135.6882,56.1967,0.86901425960691,0.0901
20,137.8733,58.9045,0.885086462603861,0.0887
21,139.8591,61.4398,0.898913569485178,0.0874
22,141.6639,63.8062,0.910974441667307,0.0863
23,143.3041,66.009,0.921607685495355,0.0853
24,144.7947,68.0546,0.931058739791642,0.0844
25,146.1494,69.95,0.939510586848257,0.0836
26,147.3806,71.703,0.947103616134133,0.0829
27,148.4995,73.3215,0.953948397289102,0.0823
28,149.5164,74.8134,0.960134326827525,0.0818
29,150.4405,76.1868,0.965735325695599,0.0812
30,151.2804,77.4496,0.970813709817033,0.0808
31,152.0437,78.6094,0.975422909211319,0.0804
32,152.7374,79.6734,0.979609357461714,0.08
33,153.3678,80.6488,0.983413849735904,0.0797
34,153.9408,81.5421,0.986872524380261,0.0794
35,154.4615,82.3597,0.990017635336569,0.0791
36,154.9347,83.1076,0.992878100390115,0.0789
37,155.3648,83.7911,0.995479970568516,0.0787
38,155.7556,84.4157,0.997846774084491,0.0785
39,156.1108,84.9859,0.999499951638926,0.0783
40,156.4336,85.5064,0.999747371501601,0.0781
