year,season,area,sb
1952,1,1,453400
1953,1,1,446980
1954,1,1,440620
1955,1,1,440800
1956,1,1,439950
1957,1,1,459070
1958,1,1,429990
1959,1,1,359510
1960,1,1,299780
1961,1,1,311700
1962,1,1,298430
1963,1,1,279380
1964,1,1,255580
1965,1,1,247250
1966,1,1,257670
1967,1,1,253090
1968,1,1,232140
1969,1,1,236970
1970,1,1,233430
1971,1,1,210820
1972,1,1,196270
1973,1,1,170230
1974,1,1,148070
1975,1,1,135310
1976,1,1,116000
1977,1,1,103100
1978,1,1,119790
1979,1,1,115510
1980,1,1,115680
1981,1,1,106710
1982,1,1,95810
1983,1,1,94238
1984,1,1,98434
1985,1,1,105370
1986,1,1,103040
1987,1,1,94418
1988,1,1,91861
1989,1,1,80740
1990,1,1,80174
1991,1,1,88819
1992,1,1,84770
1993,1,1,79917
1994,1,1,66039
1995,1,1,64639
1996,1,1,56319
1997,1,1,54097
1998,1,1,54899
1999,1,1,56239
2000,1,1,51647
2001,1,1,49377
2002,1,1,54681
2003,1,1,66355
2004,1,1,61713
2005,1,1,64941
2006,1,1,56969
2007,1,1,57669
2008,1,1,51095
2009,1,1,46247
2010,1,1,47165
2011,1,1,47843
2012,1,1,51260
2013,1,1,48559
2014,1,1,50008
2015,1,1,64920
2016,1,1,70401
2017,1,1,67666
2018,1,1,68836
2019,1,1,82067
2020,1,1,92687
2021,1,1,91064
2022,1,1,79636
2023,1,1,72337
2024,1,1,56199
1952,2,1,457750
1953,2,1,444600
1954,2,1,442800
1955,2,1,442600
1956,2,1,445040
1957,2,1,459180
1958,2,1,412490
1959,2,1,340200
1960,2,1,290080
1961,2,1,313210
1962,2,1,290380
1963,2,1,271830
1964,2,1,251360
1965,2,1,250840
1966,2,1,260070
1967,2,1,249000
1968,2,1,231340
1969,2,1,239870
1970,2,1,228260
1971,2,1,207070
1972,2,1,193710
1973,2,1,161460
1974,2,1,146570
1975,2,1,131520
1976,2,1,110890
1977,2,1,107950
1978,2,1,119780
1979,2,1,114770
1980,2,1,114460
1981,2,1,102890
1982,2,1,94699
1983,2,1,94389
1984,2,1,100530
1985,2,1,106380
1986,2,1,100120
1987,2,1,93368
1988,2,1,88006
1989,2,1,77353
1990,2,1,82472
1991,2,1,87042
1992,2,1,84142
1993,2,1,75093
1994,2,1,64064
1995,2,1,63212
1996,2,1,55189
1997,2,1,55721
1998,2,1,56145
1999,2,1,56721
2000,2,1,51737
2001,2,1,49623
2002,2,1,59602
2003,2,1,65777
2004,2,1,63491
2005,2,1,62123
2006,2,1,58107
2007,2,1,57133
2008,2,1,48981
2009,2,1,47323
2010,2,1,48164
2011,2,1,48765
2012,2,1,51291
2013,2,1,47604
2014,2,1,53814
2015,2,1,67340
2016,2,1,70747
2017,2,1,67293
2018,2,1,71016
2019,2,1,85910
2020,2,1,93274
2021,2,1,86032
2022,2,1,77418
2023,2,1,68650
2024,2,1,46664
1952,3,1,437140
1953,3,1,426380
1954,3,1,424230
1955,3,1,425220
1956,3,1,434380
1957,3,1,436970
1958,3,1,380820
1959,3,1,314370
1960,3,1,283470
1961,3,1,298520
1962,3,1,272840
1963,3,1,255680
1964,3,1,237450
1965,3,1,244140
1966,3,1,249600
1967,3,1,234320
1968,3,1,223110
1969,3,1,232040
1970,3,1,213930
1971,3,1,196030
1972,3,1,181440
1973,3,1,148830
1974,3,1,137880
1975,3,1,122510
1976,3,1,102440
1977,3,1,109220
1978,3,1,113540
1979,3,1,110370
1980,3,1,107880
1981,3,1,94842
1982,3,1,90469
1983,3,1,91240
1984,3,1,98806
1985,3,1,101580
1986,3,1,93187
1987,3,1,89016
1988,3,1,82482
1989,3,1,73667
1990,3,1,81961
1991,3,1,82823
1992,3,1,80744
1993,3,1,69173
1994,3,1,62032
1995,3,1,58897
1996,3,1,52359
1997,3,1,54459
1998,3,1,54448
1999,3,1,53025
2000,3,1,49321
2001,3,1,48183
2002,3,1,60236
2003,3,1,61786
2004,3,1,62232
2005,3,1,57936
2006,3,1,56316
2007,3,1,53720
2008,3,1,45766
2009,3,1,45603
2010,3,1,45938
2011,3,1,47453
2012,3,1,48654
2013,3,1,45815
2014,3,1,56045
2015,3,1,66114
2016,3,1,66299
2017,3,1,64720
2018,3,1,70435
2019,3,1,85152
2020,3,1,89043
2021,3,1,79811
2022,3,1,72446
2023,3,1,61764
2024,3,1,38466
1952,4,1,444720
1953,4,1,435050
1954,4,1,433530
1955,4,1,434410
1956,4,1,450850
1957,4,1,439180
1958,4,1,374670
1959,4,1,309600
1960,4,1,301080
1961,4,1,301160
1962,4,1,277660
1963,4,1,257980
1964,4,1,243140
1965,4,1,252610
1966,4,1,253330
1967,4,1,234900
1968,4,1,231020
1969,4,1,235910
1970,4,1,214690
1971,4,1,198140
1972,4,1,178770
1973,4,1,149190
1974,4,1,138150
1975,4,1,120880
1976,4,1,103000
1977,4,1,117410
1978,4,1,115780
1979,4,1,114620
1980,4,1,108800
1981,4,1,96382
1982,4,1,93390
1983,4,1,95843
1984,4,1,103650
1985,4,1,104190
1986,4,1,94870
1987,4,1,92472
1988,4,1,83193
1989,4,1,78037
1990,4,1,86865
1991,4,1,85034
1992,4,1,82328
1993,4,1,69034
1994,4,1,64377
1995,4,1,58969
1996,4,1,53791
1997,4,1,55791
1998,4,1,56827
1999,4,1,53188
2000,4,1,50321
2001,4,1,51789
2002,4,1,64647
2003,4,1,62399
2004,4,1,65815
2005,4,1,58379
2006,4,1,58995
2007,4,1,53616
2008,4,1,47206
2009,4,1,47506
2010,4,1,47184
2011,4,1,50388
2012,4,1,49779
2013,4,1,48406
2014,4,1,61809
2015,4,1,69925
2016,4,1,67930
2017,4,1,68132
2018,4,1,77487
2019,4,1,90995
2020,4,1,91953
2021,4,1,80650
2022,4,1,74009
2023,4,1,60050
2024,4,1,37135
1952,1,2,260470
1953,1,2,270150
1954,1,2,273660
1955,1,2,276970
1956,1,2,277760
1957,1,2,277680
1958,1,2,287470
1959,1,2,285030
1960,1,2,265040
1961,1,2,245430
1962,1,2,234930
1963,1,2,215440
1964,1,2,196840
1965,1,2,184880
1966,1,2,176170
1967,1,2,170740
1968,1,2,158280
1969,1,2,146200
1970,1,2,138640
1971,1,2,137090
1972,1,2,139810
1973,1,2,147570
1974,1,2,148770
1975,1,2,145860
1976,1,2,135720
1977,1,2,130350
1978,1,2,130550
1979,1,2,128600
1980,1,2,124440
1981,1,2,115690
1982,1,2,104790
1983,1,2,99983
1984,1,2,99460
1985,1,2,102920
1986,1,2,102040
1987,1,2,103410
1988,1,2,119140
1989,1,2,133320
1990,1,2,141470
1991,1,2,146750
1992,1,2,143110
1993,1,2,133160
1994,1,2,123730
1995,1,2,117830
1996,1,2,106470
1997,1,2,92626
1998,1,2,87959
1999,1,2,88980
2000,1,2,82617
2001,1,2,70712
2002,1,2,62652
2003,1,2,64174
2004,1,2,64103
2005,1,2,61460
2006,1,2,57999
2007,1,2,50460
2008,1,2,46437
2009,1,2,40001
2010,1,2,35645
2011,1,2,38830
2012,1,2,37674
2013,1,2,30278
2014,1,2,26791
2015,1,2,22359
2016,1,2,24682
2017,1,2,26019
2018,1,2,28873
2019,1,2,27851
2020,1,2,28700
2021,1,2,27514
2022,1,2,27300
2023,1,2,28906
2024,1,2,34251
1952,2,2,257740
1953,2,2,263570
1954,2,2,266360
1955,2,2,269830
1956,2,2,269140
1957,2,2,271740
1958,2,2,280060
1959,2,2,272950
1960,2,2,251090
1961,2,2,236490
1962,2,2,223470
1963,2,2,204590
1964,2,2,187450
1965,2,2,176370
1966,2,2,169970
1967,2,2,162700
1968,2,2,149730
1969,2,2,138800
1970,2,2,132760
1971,2,2,132320
1972,2,2,136290
1973,2,2,143300
1974,2,2,143690
1975,2,2,139220
1976,2,2,129270
1977,2,2,125400
1978,2,2,125890
1979,2,2,123520
1980,2,2,118200
1981,2,2,108460
1982,2,2,99303
1983,2,2,95526
1984,2,2,96435
1985,2,2,98837
1986,2,2,98046
1987,2,2,101340
1988,2,2,120210
1989,2,2,130990
1990,2,2,140020
1991,2,2,143030
1992,2,2,137120
1993,2,2,127360
1994,2,2,118440
1995,2,2,112500
1996,2,2,99333
1997,2,2,86783
1998,2,2,84332
1999,2,2,85388
2000,2,2,76140
2001,2,2,65437
2002,2,2,59518
2003,2,2,61094
2004,2,2,60600
2005,2,2,57345
2006,2,2,53775
2007,2,2,46420
2008,2,2,42025
2009,2,2,35608
2010,2,2,33208
2011,2,2,35830
2012,2,2,33523
2013,2,2,26910
2014,2,2,22451
2015,2,2,20073
2016,2,2,23279
2017,2,2,24907
2018,2,2,26215
2019,2,2,26017
2020,2,2,25856
2021,2,2,24983
2022,2,2,24624
2023,2,2,28003
2024,2,2,30296
1952,3,2,254340
1953,3,2,259290
1954,3,2,261500
1955,3,2,264830
1956,3,2,263110
1957,3,2,268530
1958,3,2,273440
1959,3,2,261770
1960,3,2,238600
1961,3,2,228880
1962,3,2,213410
1963,3,2,194840
1964,3,2,179470
1965,3,2,169310
1966,3,2,164910
1967,3,2,155580
1968,3,2,142260
1969,3,2,132630
1970,3,2,128260
1971,3,2,128590
1972,3,2,133900
1973,3,2,138930
1974,3,2,139040
1975,3,2,131940
1976,3,2,123000
1977,3,2,120330
1978,3,2,120750
1979,3,2,117750
1980,3,2,111810
1981,3,2,101310
1982,3,2,94069
1983,3,2,91137
1984,3,2,93056
1985,3,2,93960
1986,3,2,93893
1987,3,2,100600
1988,3,2,119680
1989,3,2,127920
1990,3,2,136370
1991,3,2,136650
1992,3,2,130270
1993,3,2,119590
1994,3,2,111410
1995,3,2,104900
1996,3,2,90438
1997,3,2,80519
1998,3,2,80117
1999,3,2,80073
2000,3,2,69336
2001,3,2,59508
2002,3,2,56585
2003,3,2,57684
2004,3,2,57265
2005,3,2,53960
2006,3,2,49070
2007,3,2,42718
2008,3,2,37743
2009,3,2,31985
2010,3,2,31412
2011,3,2,33390
2012,3,2,29625
2013,3,2,24007
2014,3,2,19229
2015,3,2,18594
2016,3,2,21601
2017,3,2,24141
2018,3,2,24382
2019,3,2,25095
2020,3,2,24079
2021,3,2,23441
2022,3,2,24172
2023,3,2,27562
2024,3,2,26131
1952,4,2,273370
1953,4,2,277880
1954,4,2,280330
1955,4,2,282650
1956,4,2,280840
1957,4,2,290240
1958,4,2,292230
1959,4,2,275460
1960,4,2,251650
1961,4,2,242390
1962,4,2,224010
1963,4,2,205270
1964,4,2,190970
1965,4,2,180980
1966,4,2,176700
1967,4,2,165070
1968,4,2,151950
1969,4,2,143400
1970,4,2,140270
1971,4,2,141790
1972,4,2,148910
1973,4,2,151340
1974,4,2,149930
1975,4,2,141070
1976,4,2,133730
1977,4,2,132850
1978,4,2,132240
1979,4,2,128550
1980,4,2,120890
1981,4,2,109220
1982,4,2,103090
