year,season,fishery,area,catch
1952,1,1,1,4579.7
1953,1,1,1,4883.49
1954,1,1,1,4644.29
1955,1,1,1,4813.13
1956,1,1,1,8797.06
1957,1,1,1,9148.02
1958,1,1,1,8799.26
1959,1,1,1,7239.25
1960,1,1,1,12067.4
1961,1,1,1,5211.76
1962,1,1,1,3292.36
1963,1,1,1,5663.51
1964,1,1,1,3142.5
1965,1,1,1,2361.15
1966,1,1,1,2596.73
1967,1,1,1,4327.08
1968,1,1,1,2029.21
1969,1,1,1,2827.95
1970,1,1,1,2381.37
1971,1,1,1,2024.23
1972,1,1,1,1915.19
1973,1,1,1,1529.98
1974,1,1,1,1715.41
1975,1,1,1,2507.05
1976,1,1,1,2209.28
1977,1,1,1,3736.54
1978,1,1,1,3125.2
1979,1,1,1,2320.44
1980,1,1,1,2585.11
1981,1,1,1,2093.56
1982,1,1,1,2329.32
1983,1,1,1,2194.36
1984,1,1,1,2358.6
1985,1,1,1,2077
1986,1,1,1,2726.67
1987,1,1,1,2140.49
1988,1,1,1,2348.69
1989,1,1,1,2301.43
1990,1,1,1,2537.42
1991,1,1,1,2619.3
1992,1,1,1,2353.88
1993,1,1,1,3487.65
1994,1,1,1,1812.86
1995,1,1,1,2261.64
1996,1,1,1,1587.33
1997,1,1,1,1761.52
1998,1,1,1,1722.6
1999,1,1,1,2002.38
2000,1,1,1,1888.61
2001,1,1,1,1407.56
2002,1,1,1,1529.92
2003,1,1,1,1585.98
2004,1,1,1,1794.83
2005,1,1,1,2135.43
2006,1,1,1,2341.01
2007,1,1,1,2362.92
2008,1,1,1,2035.58
2009,1,1,1,1620.49
2010,1,1,1,1581.37
2011,1,1,1,1752.51
2012,1,1,1,1443.96
2013,1,1,1,1058
2014,1,1,1,1345.92
2015,1,1,1,1975.07
2016,1,1,1,1712.86
2017,1,1,1,1232.85
2018,1,1,1,1694.97
2019,1,1,1,1970.72
2020,1,1,1,1832.48
2021,1,1,1,2369.79
2022,1,1,1,1211.88
2023,1,1,1,1718.57
2024,1,1,1,1802.81
1952,1,2,1,2828.22
1953,1,2,1,6395.57
1954,1,2,1,1013.09
1955,1,2,1,5380.65
1956,1,2,1,2637.63
1957,1,2,1,3861.82
1958,1,2,1,7460.72
1959,1,2,1,10532.6
1960,1,2,1,8505.73
1961,1,2,1,7901.12
1962,1,2,1,9271.32
1963,1,2,1,10191.4
1964,1,2,1,5915.87
1965,1,2,1,3269.2
1966,1,2,1,3692.6
1967,1,2,1,5110.98
1968,1,2,1,3798.5
1969,1,2,1,4209.55
1970,1,2,1,5087.13
1971,1,2,1,4284.89
1972,1,2,1,3888.06
1973,1,2,1,5786.36
1974,1,2,1,3959.88
1975,1,2,1,3611.21
1976,1,2,1,4877.01
1977,1,2,1,2569.55
1978,1,2,1,4940.94
1979,1,2,1,4989.84
1980,1,2,1,4739.01
1981,1,2,1,4724.33
1982,1,2,1,4834.35
1983,1,2,1,3633.55
1984,1,2,1,4068.66
1985,1,2,1,3200.85
1986,1,2,1,4522.91
1987,1,2,1,5704.95
1988,1,2,1,8527.87
1989,1,2,1,6535.16
1990,1,2,1,4809.81
1991,1,2,1,6093.39
1992,1,2,1,3928.76
1993,1,2,1,5052.7
1994,1,2,1,4108.91
1995,1,2,1,3667.09
1996,1,2,1,2082.7
1997,1,2,1,2033.74
1998,1,2,1,1702.62
1999,1,2,1,1782.09
2000,1,2,1,1248.21
2001,1,2,1,1299.42
2002,1,2,1,1344.27
2003,1,2,1,4643.25
2004,1,2,1,2648.56
2005,1,2,1,5026.15
2006,1,2,1,2422.83
2007,1,2,1,1956.28
2008,1,2,1,4028.11
2009,1,2,1,703.382
2010,1,2,1,237.259
2011,1,2,1,1717.25
2012,1,2,1,2536.14
2013,1,2,1,2478.35
2014,1,2,1,1399.99
2015,1,2,1,1891.53
2016,1,2,1,1155.24
2017,1,2,1,2727.36
2018,1,2,1,2775.07
2019,1,2,1,2779.04
2020,1,2,1,3752.98
2021,1,2,1,5567.38
2022,1,2,1,3984.34
2023,1,2,1,3412.13
2024,1,2,1,8205.04
1952,1,3,1,0
1953,1,3,1,0
1954,1,3,1,0
1955,1,3,1,0
1956,1,3,1,0
1957,1,3,1,0
1958,1,3,1,0
1959,1,3,1,0
1960,1,3,1,0
1961,1,3,1,0
1962,1,3,1,0
1963,1,3,1,0
1964,1,3,1,0
1965,1,3,1,0
1966,1,3,1,0
1967,1,3,1,0
1968,1,3,1,0
1969,1,3,1,0
1970,1,3,1,0
1971,1,3,1,0
1972,1,3,1,0
1973,1,3,1,0
1974,1,3,1,0
1975,1,3,1,0
1976,1,3,1,0
1977,1,3,1,0
1978,1,3,1,0
1979,1,3,1,0
1980,1,3,1,0
1981,1,3,1,0
1982,1,3,1,0
1983,1,3,1,0
1984,1,3,1,0
1985,1,3,1,0
1986,1,3,1,0
1987,1,3,1,0
1988,1,3,1,0
1989,1,3,1,0
1990,1,3,1,0
1991,1,3,1,806.42
1992,1,3,1,621.973
1993,1,3,1,1025.97
1994,1,3,1,821.014
1995,1,3,1,1069.38
1996,1,3,1,770.168
1997,1,3,1,1197.28
1998,1,3,1,943.567
1999,1,3,1,989.863
2000,1,3,1,848.68
2001,1,3,1,823.053
2002,1,3,1,743.687
2003,1,3,1,1302.47
2004,1,3,1,1020.43
2005,1,3,1,1553.59
2006,1,3,1,1088.05
2007,1,3,1,1078.62
2008,1,3,1,1715.41
2009,1,3,1,905.153
2010,1,3,1,1091.01
2011,1,3,1,1656.42
2012,1,3,1,1346.95
2013,1,3,1,1511.2
2014,1,3,1,1373.47
2015,1,3,1,1875.27
2016,1,3,1,2208.52
2017,1,3,1,1991.77
2018,1,3,1,1652.78
2019,1,3,1,1703.56
2020,1,3,1,2017.82
2021,1,3,1,2241.65
2022,1,3,1,1621.66
2023,1,3,1,1537.22
2024,1,3,1,2217.36
1952,1,4,2,842.593
1953,1,4,2,152.895
1954,1,4,2,404.489
1955,1,4,2,498.747
1956,1,4,2,295.56
1957,1,4,2,293.587
1958,1,4,2,327.403
1959,1,4,2,1517.92
1960,1,4,2,702.171
1961,1,4,2,910.056
1962,1,4,2,1359.86
1963,1,4,2,461.46
1964,1,4,2,431.661
1965,1,4,2,567.85
1966,1,4,2,407.467
1967,1,4,2,824.605
1968,1,4,2,860.562
1969,1,4,2,839.54
1970,1,4,2,359.399
1971,1,4,2,553.458
1972,1,4,2,494.743
1973,1,4,2,1226.41
1974,1,4,2,1931.29
1975,1,4,2,1353.68
1976,1,4,2,1476.9
1977,1,4,2,1758.62
1978,1,4,2,847.044
1979,1,4,2,1054.49
1980,1,4,2,1333.93
1981,1,4,2,1227.6
1982,1,4,2,532.085
1983,1,4,2,343.203
1984,1,4,2,552.937
1985,1,4,2,336.089
1986,1,4,2,392.404
1987,1,4,2,248.882
1988,1,4,2,314.916
1989,1,4,2,708.056
1990,1,4,2,900.16
1991,1,4,2,855.231
1992,1,4,2,1454.08
1993,1,4,2,725.813
1994,1,4,2,934.883
1995,1,4,2,1011.68
1996,1,4,2,967.088
1997,1,4,2,728.403
1998,1,4,2,348.594
1999,1,4,2,505.38
2000,1,4,2,379.694
2001,1,4,2,421.397
2002,1,4,2,413.177
2003,1,4,2,330.29
2004,1,4,2,365.251
2005,1,4,2,345.343
2006,1,4,2,381.931
2007,1,4,2,337.458
2008,1,4,2,409.582
2009,1,4,2,552.224
2010,1,4,2,406.119
2011,1,4,2,337.519
2012,1,4,2,450.413
2013,1,4,2,250.888
2014,1,4,2,417.397
2015,1,4,2,274.229
2016,1,4,2,230.109
2017,1,4,2,500.727
2018,1,4,2,430.577
2019,1,4,2,267.547
2020,1,4,2,246.413
2021,1,4,2,215.538
2022,1,4,2,206.885
2023,1,4,2,183.721
2024,1,4,2,148.011
1952,1,5,2,0
1953,1,5,2,0
1954,1,5,2,0
1955,1,5,2,0
1956,1,5,2,0
1957,1,5,2,0
1958,1,5,2,474.137
1959,1,5,2,378.619
1960,1,5,2,414.144
1961,1,5,2,464.764
1962,1,5,2,523.797
1963,1,5,2,553.977
1964,1,5,2,611.214
1965,1,5,2,399.69
1966,1,5,2,410.748
1967,1,5,2,592.531
1968,1,5,2,667.632
1969,1,5,2,675.31
1970,1,5,2,304.651
1971,1,5,2,370.412
1972,1,5,2,474.472
1973,1,5,2,452.843
1974,1,5,2,806.234
1975,1,5,2,895.741
1976,1,5,2,499.303
1977,1,5,2,440.188
1978,1,5,2,707.882
1979,1,5,2,770.751
1980,1,5,2,678.546
1981,1,5,2,907.259
1982,1,5,2,834.428
1983,1,5,2,801.738
1984,1,5,2,776.97
1985,1,5,2,1022.54
1986,1,5,2,779.131
1987,1,5,2,1011.5
1988,1,5,2,1158.56
1989,1,5,2,883.216
1990,1,5,2,1252.85
1991,1,5,2,1314.66
1992,1,5,2,1454.58
1993,1,5,2,1224.13
1994,1,5,2,1424.04
1995,1,5,2,1304.31
1996,1,5,2,2363.81
1997,1,5,2,2389.75
1998,1,5,2,2566.25
1999,1,5,2,2367.44
2000,1,5,2,4296.78
2001,1,5,2,3356.87
2002,1,5,2,2649.62
2003,1,5,2,3280.73
2004,1,5,2,4018.53
2005,1,5,2,3352
2006,1,5,2,4285.1
2007,1,5,2,3653.2
2008,1,5,2,4262.56
2009,1,5,2,4214.66
2010,1,5,2,2815.52
2011,1,5,2,4280.07
2012,1,5,2,4001.37
2013,1,5,2,3344.07
2014,1,5,2,4929.52
2015,1,5,2,3397.03
2016,1,5,2,2212.5
2017,1,5,2,1240.57
2018,1,5,2,3218.29
2019,1,5,2,3204.8
2020,1,5,2,2951.85
