year,season,f
1952,1,0.005221
1953,1,0.007802
1954,1,0.004101
1955,1,0.006802
1956,1,0.008577
1957,1,0.01005
1958,1,0.01539
1959,1,0.01673
1960,1,0.01705
1961,1,0.01388
1962,1,0.01334
1963,1,0.01667
1964,1,0.01504
1965,1,0.01014
1966,1,0.011
1967,1,0.01357
1968,1,0.01007
1969,1,0.01472
1970,1,0.01291
1971,1,0.01327
1972,1,0.01603
1973,1,0.01747
1974,1,0.01545
1975,1,0.01955
1976,1,0.01899
1977,1,0.02352
1978,1,0.02002
1979,1,0.022
1980,1,0.02867
1981,1,0.02219
1982,1,0.02746
1983,1,0.02712
1984,1,0.02876
1985,1,0.02989
1986,1,0.02865
1987,1,0.03483
1988,1,0.03472
1989,1,0.02703
1990,1,0.03598
1991,1,0.03537
1992,1,0.04137
1993,1,0.0355
1994,1,0.0364
1995,1,0.0429
1996,1,0.03731
1997,1,0.03642
1998,1,0.05845
1999,1,0.04163
2000,1,0.05106
2001,1,0.04122
2002,1,0.05998
2003,1,0.06189
2004,1,0.0625
2005,1,0.06247
2006,1,0.05643
2007,1,0.06438
2008,1,0.07563
2009,1,0.06661
2010,1,0.06518
2011,1,0.08148
2012,1,0.07289
2013,1,0.07749
2014,1,0.08198
2015,1,0.06907
2016,1,0.06788
2017,1,0.06504
2018,1,0.07507
2019,1,0.06621
2020,1,0.06728
2021,1,0.07333
2022,1,0.07226
2023,1,0.07705
2024,1,0.09487
1952,2,0.004439
1953,2,0.003076
1954,2,0.003098
1955,2,0.004842
1956,2,0.00409
1957,2,0.005394
1958,2,0.008861
1959,2,0.007484
1960,2,0.007578
1961,2,0.009307
1962,2,0.008311
1963,2,0.01134
1964,2,0.008899
1965,2,0.007565
1966,2,0.008849
1967,2,0.01023
1968,2,0.009365
1969,2,0.01001
1970,2,0.009585
1971,2,0.009624
1972,2,0.01426
1973,2,0.01133
1974,2,0.01316
1975,2,0.01318
1976,2,0.0185
1977,2,0.02192
1978,2,0.01535
1979,2,0.02046
1980,2,0.02176
1981,2,0.02451
1982,2,0.02607
1983,2,0.02542
1984,2,0.02282
1985,2,0.0289
1986,2,0.0238
1987,2,0.03196
1988,2,0.02814
1989,2,0.02684
1990,2,0.03373
1991,2,0.02915
1992,2,0.04313
1993,2,0.03441
1994,2,0.03791
1995,2,0.03806
1996,2,0.03436
1997,2,0.04615
1998,2,0.05055
1999,2,0.06032
2000,2,0.06
2001,2,0.05077
2002,2,0.06193
2003,2,0.04606
2004,2,0.07705
2005,2,0.05628
2006,2,0.06725
2007,2,0.06133
2008,2,0.06697
2009,2,0.07769
2010,2,0.06195
2011,2,0.08813
2012,2,0.09015
2013,2,0.07517
2014,2,0.08052
2015,2,0.07763
2016,2,0.07286
2017,2,0.06172
2018,2,0.0687
2019,2,0.06159
2020,2,0.07949
2021,2,0.07858
2022,2,0.07648
2023,2,0.07085
2024,2,0.08377
1952,3,0.002108
1953,3,0.002461
1954,3,0.001315
1955,3,0.001923
1956,3,0.001963
1957,3,0.00325
1958,3,0.006138
1959,3,0.004473
1960,3,0.005116
1961,3,0.007144
1962,3,0.007309
1963,3,0.007579
1964,3,0.005416
1965,3,0.007204
1966,3,0.007499
1967,3,0.008044
1968,3,0.006519
1969,3,0.007327
1970,3,0.007611
1971,3,0.007954
1972,3,0.01302
1973,3,0.009107
1974,3,0.01178
1975,3,0.01495
1976,3,0.01599
1977,3,0.01631
1978,3,0.01419
1979,3,0.02234
1980,3,0.02168
1981,3,0.01932
1982,3,0.02141
1983,3,0.02103
1984,3,0.02903
1985,3,0.02599
1986,3,0.02329
1987,3,0.03047
1988,3,0.02588
1989,3,0.02578
1990,3,0.03384
1991,3,0.02908
1992,3,0.038
1993,3,0.03808
1994,3,0.04367
1995,3,0.03257
1996,3,0.03067
1997,3,0.03908
1998,3,0.04572
1999,3,0.06085
2000,3,0.05994
2001,3,0.0482
2002,3,0.05743
2003,3,0.04757
2004,3,0.08059
2005,3,0.05599
2006,3,0.06144
2007,3,0.06409
2008,3,0.06513
2009,3,0.06194
2010,3,0.04003
2011,3,0.04649
2012,3,0.05753
