year,area,age,f
1952,1,1,6.8306541e-11
1952,1,2,0.003160992783
1952,1,3,0.013008567
1952,1,4,0.020245843
1952,1,5,0.027046822
1952,1,6,0.026023123
1952,1,7,0.025084509
1952,1,8,0.027766697
1952,1,9,0.03232589
1952,1,10,0.036835108
1952,1,11,0.040414703
1952,1,12,0.042951401
1952,1,13,0.04454931
1952,1,14,0.045367158
1952,1,15,0.04559038
1952,1,16,0.045434971
1952,1,17,0.045091603
1952,1,18,0.044668791
1952,1,19,0.044229359
1952,1,20,0.043809815
1952,1,21,0.043429376
1952,1,22,0.04309615
1952,1,23,0.042811508
1952,1,24,0.042572996
1952,1,25,0.04237626
1952,1,26,0.042218542
1952,1,27,0.042090763
1952,1,28,0.041988503
1952,1,29,0.041907717
1952,1,30,0.041844875
1952,1,31,0.041797886
1952,1,32,0.04176139
1952,1,33,0.041733559
1952,1,34,0.04171285
1952,1,35,0.041697968
1952,1,36,0.041687775
1952,1,37,0.041681382
1952,1,38,0.041681382
1952,1,39,0.041681382
1952,1,40,0.041681382
1953,1,1,5.6330834e-11
1953,1,2,0.003680696356
1953,1,3,0.01071333
1953,1,4,0.018712525
1953,1,5,0.0260011
1953,1,6,0.024285878
1953,1,7,0.022235393
1953,1,8,0.023653833
1953,1,9,0.026980016
1953,1,10,0.030407266
1953,1,11,0.033082681
1953,1,12,0.034885344
1953,1,13,0.035899974
1953,1,14,0.036271064
1953,1,15,0.036174866
1953,1,16,0.035820077
1953,1,17,0.03538402
1953,1,18,0.0349485283
1953,1,19,0.0345465415
1953,1,20,0.0341915108
1953,1,21,0.0338868654
1953,1,22,0.0336308832
1953,1,23,0.0334192811
1953,1,24,0.0332466982
1953,1,25,0.0331076263
1953,1,26,0.0329982153
1953,1,27,0.0329114669
1953,1,28,0.0328435114
1953,1,29,0.0327910608
1953,1,30,0.0327513159
1953,1,31,0.0327231101
1953,1,32,0.0327012807
1953,1,33,0.0326846847
1953,1,34,0.032672377
1953,1,35,0.0326635332
1953,1,36,0.0326575059
1953,1,37,0.0326537091
1953,1,38,0.0326537091
1953,1,39,0.0326537091
1953,1,40,0.0326537091
1954,1,1,4.4295129e-11
1954,1,2,0.002854232843
1954,1,3,0.0073909385
1954,1,4,0.0135438405
1954,1,5,0.019282439
1954,1,6,0.018516929
1954,1,7,0.017846413
1954,1,8,0.019778035
