year,area,stage,f
1952,1,adult,0.0424677906867188
1953,1,adult,0.0333879038660877
1954,1,adult,0.0265737999838384
1955,1,adult,0.0441415152812679
1956,1,adult,0.0450988773471227
1957,1,adult,0.0532836050303308
1958,1,adult,0.0864497008011225
1959,1,adult,0.100241634574968
1960,1,adult,0.101270487753323
1961,1,adult,0.0711180421239015
1962,1,adult,0.0778170781927568
1963,1,adult,0.0950856614185313
1964,1,adult,0.0691317748671501
1965,1,adult,0.0480647750276043
1966,1,adult,0.0578544350072687
1967,1,adult,0.07764008707082
1968,1,adult,0.0518763369082999
1969,1,adult,0.0622459122673102
1970,1,adult,0.0769593263563546
1971,1,adult,0.070346216250349
1972,1,adult,0.0871668492187972
1973,1,adult,0.0885746306162814
1974,1,adult,0.109239038299519
1975,1,adult,0.128890589073902
1976,1,adult,0.160017907312115
1977,1,adult,0.139717745506437
1978,1,adult,0.147324191143472
1979,1,adult,0.134959920790007
1980,1,adult,0.127401926615689
1981,1,adult,0.160751936472756
1982,1,adult,0.144661646770882
1983,1,adult,0.126483851560066
1984,1,adult,0.128016619511791
1985,1,adult,0.123964940261732
1986,1,adult,0.164604130977871
1987,1,adult,0.196687987502502
1988,1,adult,0.23649227810076
1989,1,adult,0.218999672778117
1990,1,adult,0.168587623178687
1991,1,adult,0.211580608748031
1992,1,adult,0.197950229005394
1993,1,adult,0.259073898764788
1994,1,adult,0.20373865731057
1995,1,adult,0.255116951328057
1996,1,adult,0.222400564318827
1997,1,adult,0.237802043750986
1998,1,adult,0.231142891599085
1999,1,adult,0.260389474254414
2000,1,adult,0.20346718976978
2001,1,adult,0.181278522307695
2002,1,adult,0.198441645545394
2003,1,adult,0.285781543538098
2004,1,adult,0.257738532237565
2005,1,adult,0.302453866524169
2006,1,adult,0.299217456447015
2007,1,adult,0.302445329027411
2008,1,adult,0.332806129619766
2009,1,adult,0.229151763651029
2010,1,adult,0.202504245276975
2011,1,adult,0.26008637568773
2012,1,adult,0.274354818702651
2013,1,adult,0.226810907687022
2014,1,adult,0.195962304209784
2015,1,adult,0.202227512170777
2016,1,adult,0.21704896335702
2017,1,adult,0.225088782479131
2018,1,adult,0.205417833043376
2019,1,adult,0.19679085841684
2020,1,adult,0.194538802781432
2021,1,adult,0.225995923482861
2022,1,adult,0.209257853500675
2023,1,adult,0.274080526390376
2024,1,adult,0.569310418661902
1952,2,adult,0.00510331601619925
1953,2,adult,0.00488983837225508
1954,2,adult,0.00347792931191979
1955,2,adult,0.00303628903435785
