year,season,fishery,ess,length,obs,pred
1957,1,1,4467.12,10,0,0
1957,1,1,4467.12,12,0,0
1957,1,1,4467.12,14,0,0
1957,1,1,4467.12,16,0,0
1957,1,1,4467.12,18,0,0
1957,1,1,4467.12,20,0,0
1957,1,1,4467.12,22,0,0
1957,1,1,4467.12,24,0,0
1957,1,1,4467.12,26,0,0
1957,1,1,4467.12,28,7.65143e-09,0
1957,1,1,4467.12,30,1.339e-07,0
1957,1,1,4467.12,32,7.30711e-07,0
1957,1,1,4467.12,34,2.32221e-06,0
1957,1,1,4467.12,36,4.38809e-06,0
1957,1,1,4467.12,38,7.72527e-06,0
1957,1,1,4467.12,40,1.59923e-05,0
1957,1,1,4467.12,42,4.53641e-05,0
1957,1,1,4467.12,44,0.00010447,1e-04
1957,1,1,4467.12,46,0.000198905,1e-04
1957,1,1,4467.12,48,0.000378814,2e-04
1957,1,1,4467.12,50,0.000688266,3e-04
1957,1,1,4467.12,52,0.00121228,4e-04
1957,1,1,4467.12,54,0.00193619,6e-04
1957,1,1,4467.12,56,0.00305575,8e-04
1957,1,1,4467.12,58,0.00416225,9e-04
1957,1,1,4467.12,60,0.00537194,0.001
1957,1,1,4467.12,62,0.00625725,0.001
1957,1,1,4467.12,64,0.00624681,0.001
1957,1,1,4467.12,66,0.006068,9e-04
1957,1,1,4467.12,68,0.00552158,8e-04
1957,1,1,4467.12,70,0.00495775,8e-04
1957,1,1,4467.12,72,0.00456371,8e-04
1957,1,1,4467.12,74,0.00442994,0.0012
1957,1,1,4467.12,76,0.00505519,0.0017
1957,1,1,4467.12,78,0.00682732,0.0027
1957,1,1,4467.12,80,0.01032,0.0041
1957,1,1,4467.12,82,0.0177284,0.0061
1957,1,1,4467.12,84,0.0295474,0.009
1957,1,1,4467.12,86,0.0458047,0.0124
1957,1,1,4467.12,88,0.0626673,0.0163
1957,1,1,4467.12,90,0.0704172,0.0204
1957,1,1,4467.12,92,0.0667092,0.0244
1957,1,1,4467.12,94,0.0578082,0.028
1957,1,1,4467.12,96,0.0444311,0.031
1957,1,1,4467.12,98,0.0334322,0.0333
1957,1,1,4467.12,100,0.0253367,0.0348
1957,1,1,4467.12,102,0.0217168,0.0359
1957,1,1,4467.12,104,0.0209515,0.0366
1957,1,1,4467.12,106,0.0224461,0.0371
1957,1,1,4467.12,108,0.0235828,0.0375
1957,1,1,4467.12,110,0.0249925,0.0377
1957,1,1,4467.12,112,0.0252245,0.0376
1957,1,1,4467.12,114,0.0245686,0.0369
1957,1,1,4467.12,116,0.0222704,0.0358
1957,1,1,4467.12,118,0.0192211,0.0342
1957,1,1,4467.12,120,0.0151532,0.0322
1957,1,1,4467.12,122,0.0120334,0.0299
1957,1,1,4467.12,124,0.00986163,0.0279
1957,1,1,4467.12,126,0.00946339,0.0261
1957,1,1,4467.12,128,0.0102816,0.0245
1957,1,1,4467.12,130,0.0123527,0.0232
1957,1,1,4467.12,132,0.0147011,0.0221
1957,1,1,4467.12,134,0.0170982,0.0212
1957,1,1,4467.12,136,0.0191088,0.0204
1957,1,1,4467.12,138,0.0202275,0.0196
1957,1,1,4467.12,140,0.0195402,0.0188
1957,1,1,4467.12,142,0.017802,0.0178
1957,1,1,4467.12,144,0.0150998,0.017
1957,1,1,4467.12,146,0.0130591,0.016
1957,1,1,4467.12,148,0.0109966,0.015
1957,1,1,4467.12,150,0.00922089,0.0139
1957,1,1,4467.12,152,0.00765707,0.0127
1957,1,1,4467.12,154,0.00649903,0.0116
1957,1,1,4467.12,156,0.00552055,0.0104
1957,1,1,4467.12,158,0.00461859,0.0093
1957,1,1,4467.12,160,0.00370859,0.0081
1957,1,1,4467.12,162,0.00283136,0.0071
1957,1,1,4467.12,164,0.00211825,0.006
1957,1,1,4467.12,166,0.00152899,0.0051
1957,1,1,4467.12,168,0.0011136,0.0043
1957,1,1,4467.12,170,0.00076967,0.0035
1957,1,1,4467.12,172,0.000510117,0.0028
1957,1,1,4467.12,174,0.000325179,0.0022
1957,1,1,4467.12,176,0.000192616,0.0018
1957,1,1,4467.12,178,0.000115315,0.0014
1957,1,1,4467.12,180,7.59933e-05,0.001
1957,1,1,4467.12,182,5.4778e-05,8e-04
1957,1,1,4467.12,184,3.60845e-05,6e-04
1957,1,1,4467.12,186,2.08264e-05,4e-04
1957,1,1,4467.12,188,9.25549e-06,3e-04
1957,1,1,4467.12,190,3.26534e-06,2e-04
1957,1,1,4467.12,192,7.09672e-07,1e-04
1957,1,1,4467.12,194,1.88507e-07,1e-04
1957,1,1,4467.12,196,2.21772e-08,0
1957,1,1,4467.12,198,0,0
1957,4,1,3092.5885,10,0,0
1957,4,1,3092.5885,12,0,0
1957,4,1,3092.5885,14,0,0
1957,4,1,3092.5885,16,0,0
1957,4,1,3092.5885,18,0,0
1957,4,1,3092.5885,20,0,0
1957,4,1,3092.5885,22,0,0
1957,4,1,3092.5885,24,0,0
1957,4,1,3092.5885,26,0,0
1957,4,1,3092.5885,28,0,0
1957,4,1,3092.5885,30,0,0
1957,4,1,3092.5885,32,0,0
1957,4,1,3092.5885,34,0,0
1957,4,1,3092.5885,36,0,0
1957,4,1,3092.5885,38,0,1e-04
1957,4,1,3092.5885,40,0,1e-04
1957,4,1,3092.5885,42,0,2e-04
1957,4,1,3092.5885,44,0,4e-04
1957,4,1,3092.5885,46,0,5e-04
1957,4,1,3092.5885,48,0,6e-04
1957,4,1,3092.5885,50,1e-04,7e-04
1957,4,1,3092.5885,52,1e-04,8e-04
1957,4,1,3092.5885,54,2e-04,8e-04
1957,4,1,3092.5885,56,4e-04,8e-04
1957,4,1,3092.5885,58,5e-04,8e-04
1957,4,1,3092.5885,60,7e-04,8e-04
1957,4,1,3092.5885,62,8e-04,7e-04
1957,4,1,3092.5885,64,0.0011,8e-04
1957,4,1,3092.5885,66,0.0016,9e-04
1957,4,1,3092.5885,68,0.0022,0.0014
1957,4,1,3092.5885,70,0.0028,0.0021
1957,4,1,3092.5885,72,0.0035,0.0031
1957,4,1,3092.5885,74,0.0045,0.0046
1957,4,1,3092.5885,76,0.0065,0.0063
1957,4,1,3092.5885,78,0.0098,0.0082
1957,4,1,3092.5885,80,0.0144,0.0099
1957,4,1,3092.5885,82,0.0202,0.0113
1957,4,1,3092.5885,84,0.0244,0.0123
1957,4,1,3092.5885,86,0.0253,0.0125
1957,4,1,3092.5885,88,0.0232,0.0122
1957,4,1,3092.5885,90,0.0177,0.0116
1957,4,1,3092.5885,92,0.0112,0.011
1957,4,1,3092.5885,94,0.0072,0.0108
1957,4,1,3092.5885,96,0.005,0.0112
1957,4,1,3092.5885,98,0.0047,0.0123
1957,4,1,3092.5885,100,0.0055,0.0142
1957,4,1,3092.5885,102,0.0075,0.0169
1957,4,1,3092.5885,104,0.0113,0.0201
1957,4,1,3092.5885,106,0.0183,0.0235
1957,4,1,3092.5885,108,0.0276,0.027
1957,4,1,3092.5885,110,0.0407,0.0303
1957,4,1,3092.5885,112,0.0522,0.0331
1957,4,1,3092.5885,114,0.061,0.0353
1957,4,1,3092.5885,116,0.0627,0.0368
1957,4,1,3092.5885,118,0.0594,0.0377
1957,4,1,3092.5885,120,0.0506,0.038
1957,4,1,3092.5885,122,0.0425,0.0377
1957,4,1,3092.5885,124,0.0358,0.037
1957,4,1,3092.5885,126,0.0324,0.036
1957,4,1,3092.5885,128,0.0303,0.0347
1957,4,1,3092.5885,130,0.0297,0.0333
1957,4,1,3092.5885,132,0.0278,0.0317
1957,4,1,3092.5885,134,0.0254,0.0301
1957,4,1,3092.5885,136,0.0223,0.0285
1957,4,1,3092.5885,138,0.0195,0.0268
1957,4,1,3092.5885,140,0.017,0.0253
1957,4,1,3092.5885,142,0.0155,0.0236
1957,4,1,3092.5885,144,0.0145,0.0221
1957,4,1,3092.5885,146,0.0146,0.0207
1957,4,1,3092.5885,148,0.0142,0.0192
1957,4,1,3092.5885,150,0.0136,0.0177
1957,4,1,3092.5885,152,0.0122,0.0162
1957,4,1,3092.5885,154,0.0105,0.0147
1957,4,1,3092.5885,156,0.0085,0.013
1957,4,1,3092.5885,158,0.0067,0.0116
1957,4,1,3092.5885,160,0.0052,0.0102
1957,4,1,3092.5885,162,0.004,0.0089
1957,4,1,3092.5885,164,0.0031,0.0076
1957,4,1,3092.5885,166,0.0024,0.0064
1957,4,1,3092.5885,168,0.0019,0.0054
1957,4,1,3092.5885,170,0.0015,0.0044
1957,4,1,3092.5885,172,0.0012,0.0035
1957,4,1,3092.5885,174,9e-04,0.0028
1957,4,1,3092.5885,176,6e-04,0.0022
1957,4,1,3092.5885,178,4e-04,0.0017
1957,4,1,3092.5885,180,3e-04,0.0013
1957,4,1,3092.5885,182,2e-04,9e-04
1957,4,1,3092.5885,184,1e-04,7e-04
1957,4,1,3092.5885,186,0,5e-04
1957,4,1,3092.5885,188,0,3e-04
1957,4,1,3092.5885,190,0,2e-04
1957,4,1,3092.5885,192,0,2e-04
1957,4,1,3092.5885,194,0,1e-04
1957,4,1,3092.5885,196,0,1e-04
1957,4,1,3092.5885,198,0,0
1958,1,1,1642.2391,10,0,0
1958,1,1,1642.2391,12,0,0
1958,1,1,1642.2391,14,0,0
1958,1,1,1642.2391,16,0,0
1958,1,1,1642.2391,18,0,0
1958,1,1,1642.2391,20,0,0
1958,1,1,1642.2391,22,0,0
1958,1,1,1642.2391,24,0,0
1958,1,1,1642.2391,26,0,0
1958,1,1,1642.2391,28,0,0
1958,1,1,1642.2391,30,0,0
1958,1,1,1642.2391,32,0,0
1958,1,1,1642.2391,34,0,0
1958,1,1,1642.2391,36,0,0
1958,1,1,1642.2391,38,0,0
1958,1,1,1642.2391,40,0,0
1958,1,1,1642.2391,42,0,1e-04
1958,1,1,1642.2391,44,0,1e-04
1958,1,1,1642.2391,46,0,2e-04
1958,1,1,1642.2391,48,0,3e-04
1958,1,1,1642.2391,50,0,4e-04
1958,1,1,1642.2391,52,1e-04,6e-04
1958,1,1,1642.2391,54,4e-04,8e-04
1958,1,1,1642.2391,56,8e-04,0.001
1958,1,1,1642.2391,58,0.0014,0.0013
1958,1,1,1642.2391,60,0.002,0.0016
1958,1,1,1642.2391,62,0.0027,0.0019
1958,1,1,1642.2391,64,0.0034,0.0021
1958,1,1,1642.2391,66,0.0044,0.0022
1958,1,1,1642.2391,68,0.0056,0.0024
1958,1,1,1642.2391,70,0.0067,0.0024
1958,1,1,1642.2391,72,0.0075,0.0026
1958,1,1,1642.2391,74,0.0083,0.003
1958,1,1,1642.2391,76,0.0101,0.0037
1958,1,1,1642.2391,78,0.0135,0.0049
1958,1,1,1642.2391,80,0.0188,0.0065
1958,1,1,1642.2391,82,0.0271,0.0087
1958,1,1,1642.2391,84,0.0367,0.011
1958,1,1,1642.2391,86,0.0462,0.0132
1958,1,1,1642.2391,88,0.0526,0.0153
1958,1,1,1642.2391,90,0.0499,0.0166
1958,1,1,1642.2391,92,0.0394,0.0172
1958,1,1,1642.2391,94,0.0283,0.017
1958,1,1,1642.2391,96,0.018,0.0167
1958,1,1,1642.2391,98,0.0115,0.016
1958,1,1,1642.2391,100,0.0081,0.0156
1958,1,1,1642.2391,102,0.0076,0.0157
1958,1,1,1642.2391,104,0.009,0.0165
1958,1,1,1642.2391,106,0.0132,0.0181
1958,1,1,1642.2391,108,0.0196,0.0203
1958,1,1,1642.2391,110,0.0296,0.023
1958,1,1,1642.2391,112,0.0393,0.026
1958,1,1,1642.2391,114,0.0478,0.0287
1958,1,1,1642.2391,116,0.0513,0.0314
