year,season,area,age,n
1952,1,1,1,10249100
1952,1,1,2,6415800
1952,1,1,3,4981480
1952,1,1,4,3500640
1952,1,1,5,2728000
1952,1,1,6,2298490
1952,1,1,7,2100710
1952,1,1,8,1639010
1952,1,1,9,1373510
1952,1,1,10,1220920
1952,1,1,11,1162590
1952,1,1,12,937116
1952,1,1,13,805893
1952,1,1,14,731772
1952,1,1,15,709323
1952,1,1,16,580533
1952,1,1,17,505516
1952,1,1,18,464012
1952,1,1,19,454046
1952,1,1,20,374766
1952,1,1,21,328596
1952,1,1,22,303485
1952,1,1,23,298627
1952,1,1,24,247765
1952,1,1,25,218129
1952,1,1,26,202220
1952,1,1,27,199681
1952,1,1,28,166235
1952,1,1,29,146716
1952,1,1,30,136341
1952,1,1,31,134940
1952,1,1,32,112601
1952,1,1,33,99533.5
1952,1,1,34,92639.4
1952,1,1,35,91832.1
1952,1,1,36,76758.8
1952,1,1,37,67915.5
1952,1,1,38,63277.1
1952,1,1,39,62795.6
1952,1,1,40,245132
1953,1,1,1,10249100
1953,1,1,2,6416440
1953,1,1,3,4982460
1953,1,1,4,3493850
1953,1,1,5,2733550
1953,1,1,6,2290810
1953,1,1,7,2073200
1953,1,1,8,1605680
1953,1,1,9,1345750
1953,1,1,10,1197000
1953,1,1,11,1137390
1953,1,1,12,912946
1953,1,1,13,781982
1953,1,1,14,707699
1953,1,1,15,684341
1953,1,1,16,559134
1953,1,1,17,486674
1953,1,1,18,446711
1953,1,1,19,437198
1953,1,1,20,360885
1953,1,1,21,316626
1953,1,1,22,292564
1953,1,1,23,287958
1953,1,1,24,238907
1953,1,1,25,210430
1953,1,1,26,195132
1953,1,1,27,192693
1953,1,1,28,160380
1953,1,1,29,141593
1953,1,1,30,131594
1953,1,1,31,130231
1953,1,1,32,108633
1953,1,1,33,96048.3
1953,1,1,34,89398.1
1953,1,1,35,88605.8
1953,1,1,36,74031.7
1953,1,1,37,65515.7
1953,1,1,38,61041
1953,1,1,39,60565.4
1953,1,1,40,340966
1954,1,1,1,3445460
1954,1,1,2,612023
1954,1,1,3,562597
1954,1,1,4,9428170
1954,1,1,5,2712270
1954,1,1,6,2275370
1954,1,1,7,2060260
1954,1,1,8,1593290
1954,1,1,9,1343070
1954,1,1,10,1190780
1954,1,1,11,1122220
1954,1,1,12,895395
1954,1,1,13,767501
1954,1,1,14,695357
1954,1,1,15,671216
1954,1,1,16,546356
1954,1,1,17,473581
1954,1,1,18,433200
1954,1,1,19,422943
1954,1,1,20,348596
1954,1,1,21,305616
1954,1,1,22,282350
1954,1,1,23,277970
1954,1,1,24,230712
1954,1,1,25,203297
1954,1,1,26,188598
1954,1,1,27,186317
1954,1,1,28,155131
1954,1,1,29,136998
1954,1,1,30,127356
1954,1,1,31,126065
1954,1,1,32,105179
1954,1,1,33,93006
1954,1,1,34,86576.2
1954,1,1,35,85817.8
1954,1,1,36,71709.4
1954,1,1,37,63463
1954,1,1,38,59131.1
1954,1,1,39,58673.3
1954,1,1,40,400090
1955,1,1,1,28667800
1955,1,1,2,482972
1955,1,1,3,380315
1955,1,1,4,18824200
1955,1,1,5,917073
1955,1,1,6,219144
1955,1,1,7,234974
1955,1,1,8,4320520
1955,1,1,9,1339130
1955,1,1,10,1186370
1955,1,1,11,1117570
1955,1,1,12,890357
1955,1,1,13,767969
1955,1,1,14,694192
1955,1,1,15,665324
1955,1,1,16,538887
1955,1,1,17,467843
1955,1,1,18,428697
1955,1,1,19,417990
1955,1,1,20,343311
1955,1,1,21,299762
1955,1,1,22,275980
1955,1,1,23,271007
1955,1,1,24,224563
1955,1,1,25,197700
1955,1,1,26,183352
1955,1,1,27,181150
1955,1,1,28,150871
1955,1,1,29,133278
1955,1,1,30,123940
1955,1,1,31,122726
1955,1,1,32,102425
1955,1,1,33,90591.8
1955,1,1,34,84347.1
1955,1,1,35,83624.5
1955,1,1,36,69889.2
1955,1,1,37,61858.3
1955,1,1,38,57641.6
1955,1,1,39,57200.9
1955,1,1,40,436827
1956,1,1,1,3587940
1956,1,1,2,152992
1956,1,1,3,142738
1956,1,1,4,1415880
1956,1,1,5,7601470
1956,1,1,6,172556
1956,1,1,7,158016
1956,1,1,8,8552290
1956,1,1,9,450333
1956,1,1,10,113992
1956,1,1,11,126883
1956,1,1,12,2385760
1956,1,1,13,756449
1956,1,1,14,681891
1956,1,1,15,652071
1956,1,1,16,526596
1956,1,1,17,459519
1956,1,1,18,419837
1956,1,1,19,406320
1956,1,1,20,332066
1956,1,1,21,290427
1956,1,1,22,267907
1956,1,1,23,262799
1956,1,1,24,217065
1956,1,1,25,190375
1956,1,1,26,175990
1956,1,1,27,173473
1956,1,1,28,144268
1956,1,1,29,127351
1956,1,1,30,118411
1956,1,1,31,117276
1956,1,1,32,97914.9
1956,1,1,33,86637.9
1956,1,1,34,80699.1
1956,1,1,35,80039.5
1956,1,1,36,66917.8
1956,1,1,37,59244.2
1956,1,1,38,55219.1
1956,1,1,39,54808.7
1956,1,1,40,449556
1957,1,1,1,9243700
1957,1,1,2,139902
1957,1,1,3,584510
1957,1,1,4,4353890
1957,1,1,5,947570
1957,1,1,6,54165.5
1957,1,1,7,58561.6
1957,1,1,8,646142
1957,1,1,9,3667380
1957,1,1,10,88730.5
1957,1,1,11,84558.4
1957,1,1,12,4683140
1957,1,1,13,253115
1957,1,1,14,65420.5
1957,1,1,15,73914.2
1957,1,1,16,1402710
1957,1,1,17,451510
1957,1,1,18,411933
1957,1,1,19,398187
1957,1,1,20,324679
1957,1,1,21,285504
1957,1,1,22,262621
1957,1,1,23,255702
1957,1,1,24,210132
1957,1,1,25,184566
1957,1,1,26,170916
1957,1,1,27,168259
1957,1,1,28,139460
1957,1,1,29,122618
1957,1,1,30,113624
1957,1,1,31,112258
1957,1,1,32,93580.5
1957,1,1,33,82733.2
1957,1,1,34,77044.4
1957,1,1,35,76427.2
1957,1,1,36,63920.9
1957,1,1,37,56612.3
1957,1,1,38,52786.9
1957,1,1,39,52415.3
1957,1,1,40,450772
1958,1,1,1,7454210
1958,1,1,2,147519
1958,1,1,3,1113190
1958,1,1,4,3294010
1958,1,1,5,2436120
1958,1,1,6,49393.5
1958,1,1,7,235693
1958,1,1,8,1915850
1958,1,1,9,451258
1958,1,1,10,27555.8
1958,1,1,11,31124.8
1958,1,1,12,360066
1958,1,1,13,2036770
1958,1,1,14,50412.1
1958,1,1,15,48772
1958,1,1,16,2725720
1958,1,1,17,150009
1958,1,1,18,39359.3
1958,1,1,19,44905.9
1958,1,1,20,855529
1958,1,1,21,278159
1958,1,1,22,255563
1958,1,1,23,248571
1958,1,1,24,203835
1958,1,1,25,180012
1958,1,1,26,166241
1958,1,1,27,162458
1958,1,1,28,133980
1958,1,1,29,117978
1958,1,1,30,109516
1958,1,1,31,108065
1958,1,1,32,89783.2
1958,1,1,33,79061.1
1958,1,1,34,73375.6
1958,1,1,35,72608.8
1958,1,1,36,60633.4
1958,1,1,37,53655
1958,1,1,38,50018.1
1958,1,1,39,49674.5
1958,1,1,40,441440
1959,1,1,1,4661490
1959,1,1,2,298501
1959,1,1,3,28146400
1959,1,1,4,168513
1959,1,1,5,1960380
1959,1,1,6,52056
1959,1,1,7,448300
1959,1,1,8,1442130
1959,1,1,9,1152200
1959,1,1,10,24881.9
1959,1,1,11,122703
1959,1,1,12,1025820
1959,1,1,13,245714
1959,1,1,14,15258.8
1959,1,1,15,17473.8
1959,1,1,16,208848
1959,1,1,17,1163600
1959,1,1,18,29265.8
1959,1,1,19,28582.4
1959,1,1,20,1603090
1959,1,1,21,89361.3
1959,1,1,22,23679
1959,1,1,23,27156.3
1959,1,1,24,517335
1959,1,1,25,169360
1959,1,1,26,156287
1959,1,1,27,152629
1959,1,1,28,125647
1959,1,1,29,111269
1959,1,1,30,103031
1959,1,1,31,100945
1959,1,1,32,83466.6
1959,1,1,33,73618.4
1959,1,1,34,68450.8
1959,1,1,35,67656.8
1959,1,1,36,56313.1
1959,1,1,37,49636.1
1959,1,1,38,46116.1
1959,1,1,39,45687.4
1959,1,1,40,414099
1960,1,1,1,1237100
1960,1,1,2,149637
1960,1,1,3,186514
1960,1,1,4,213630
1960,1,1,5,1245140
1960,1,1,6,106830
1960,1,1,7,11667000
1960,1,1,8,77381.7
1960,1,1,9,954916
1960,1,1,10,26701.9
1960,1,1,11,235459
1960,1,1,12,772222
1960,1,1,13,626551
1960,1,1,14,13740.9
1960,1,1,15,68099.6
1960,1,1,16,577503
1960,1,1,17,139564
1960,1,1,18,8769.01
1960,1,1,19,10139.6
1960,1,1,20,124872
1960,1,1,21,681172
1960,1,1,22,17336.7
1960,1,1,23,17022
1960,1,1,24,954247
1960,1,1,25,53718.1
1960,1,1,26,14337.7
1960,1,1,27,16488.6
1960,1,1,28,313278
1960,1,1,29,103094
1960,1,1,30,95403.4
1960,1,1,31,93422.5
1960,1,1,32,77116.6
1960,1,1,33,68406.2
1960,1,1,34,63451.9
1960,1,1,35,62278.1
1960,1,1,36,51594.3
1960,1,1,37,45551.8
1960,1,1,38,42400.7
1960,1,1,39,41958.9
1960,1,1,40,381077
1961,1,1,1,24112400
1961,1,1,2,423186
1961,1,1,3,95078.7
1961,1,1,4,7846860
1961,1,1,5,332391
1961,1,1,6,53616
1961,1,1,7,77943.5
1961,1,1,8,98348.1
1961,1,1,9,614728
1961,1,1,10,54862.9
1961,1,1,11,6122060
1961,1,1,12,41651.1
1961,1,1,13,516785
1961,1,1,14,14701.3
1961,1,1,15,130326
1961,1,1,16,432112
1961,1,1,17,354850
1961,1,1,18,7890.91
1961,1,1,19,39241.4
1961,1,1,20,337276
1961,1,1,21,82084.2
1961,1,1,22,5206.63
1961,1,1,23,6064.81
1961,1,1,24,76872.2
1961,1,1,25,408668
1961,1,1,26,10503
1961,1,1,27,10341.8
1961,1,1,28,577744
1961,1,1,29,32795.9
1961,1,1,30,8803.62
1961,1,1,31,10134.6
1961,1,1,32,191610
1961,1,1,33,63320.9
1961,1,1,34,58696
1961,1,1,35,57578.2
1961,1,1,36,47620.3
1961,1,1,37,42279.2
1961,1,1,38,39260
1961,1,1,39,38581.9
1961,1,1,40,350093
1962,1,1,1,7291320
1962,1,1,2,473419
1962,1,1,3,163825
1962,1,1,4,189665
1962,1,1,5,6386890
1962,1,1,6,150363
1962,1,1,7,39489.2
1962,1,1,8,3587100
1962,1,1,9,165827
1962,1,1,10,27963.8
1962,1,1,11,42093.5
1962,1,1,12,54321.3
1962,1,1,13,346712
1962,1,1,14,31078.2
1962,1,1,15,3487330
1962,1,1,16,24188.6
1962,1,1,17,300926
1962,1,1,18,8696.54
1962,1,1,19,77320.6
1962,1,1,20,258532
1962,1,1,21,214312
1962,1,1,22,4819.03
1962,1,1,23,23971.3
1962,1,1,24,208349
1962,1,1,25,50937.6
1962,1,1,26,3254.56
1962,1,1,27,3811.85
1962,1,1,28,49731.8
1962,1,1,29,256540
1962,1,1,30,6652.15
1962,1,1,31,6559.9
1962,1,1,32,364459
1962,1,1,33,20855.2
1962,1,1,34,5627.38
1962,1,1,35,6478.89
1962,1,1,36,121700
1962,1,1,37,40373.7
1962,1,1,38,37467.5
1962,1,1,39,36801.6
1962,1,1,40,332549
1963,1,1,1,22385500
1963,1,1,2,1218770
1963,1,1,3,1101630
1963,1,1,4,4764120
1963,1,1,5,1935080
1963,1,1,6,171543
1963,1,1,7,68421.2
1963,1,1,8,88741
1963,1,1,9,3151060
1963,1,1,10,77975.7
1963,1,1,11,21202
1963,1,1,12,1964320
1963,1,1,13,93810
1963,1,1,14,15901.5
1963,1,1,15,24213
1963,1,1,16,31518.1
