"Index","Parameter","Estimate","L_bound","U_bound","Gradient","Note"
1,"diff_coffs(1,1)",2.0844038e-09,0,4,3.9961745e-08,"*"
2,"diff_coffs(1,2)",0.0035335893,0,4,9.9964958e-06,""
3,"diff_coffs(1,3)",0.0073181512,0,4,1.2091292e-06,""
4,"diff_coffs(1,4)",6.4512684e-10,0,4,2.2064376e-09,"*"
5,"diff_coffs(1,5)",0.018010006,0,4,-8.1158411e-06,""
6,"diff_coffs(1,6)",0.0064531192,0,4,-3.1343954e-05,""
7,"diff_coffs(1,7)",0.004846663,0,4,-3.4767655e-06,""
8,"diff_coffs(1,8)",0.13964644,0,4,5.3890292e-06,""
9,"diff_coffs(1,9)",0.13434056,0,4,-1.4274904e-05,""
10,"diff_coffs(1,10)",0.0034972233,0,4,1.8504514e-06,""
11,"diff_coffs(1,11)",0.2568965,0,4,5.5613067e-06,""
12,"diff_coffs(1,12)",0.043915398,0,4,-7.5992437e-07,""
13,"diff_coffs(1,13)",0.14969565,0,4,-1.2658074e-06,""
14,"diff_coffs(1,14)",0.011713787,0,4,-9.6929653e-06,""
15,"diff_coffs(2,1)",0.014351867,0,4,1.9668494e-05,""
16,"diff_coffs(2,2)",7.1627837e-10,0,4,1.8121217e-08,"*"
17,"diff_coffs(2,3)",0.046825918,0,4,4.2417194e-06,""
18,"diff_coffs(2,4)",2.6613021e-09,0,4,-2.8645007e-08,"*"
19,"diff_coffs(2,5)",0.033354333,0,4,-1.3242135e-05,""
20,"diff_coffs(2,6)",6.1495882e-09,0,4,3.8994055e-05,"*"
21,"diff_coffs(2,7)",0.0056672085,0,4,1.8929099e-05,""
22,"diff_coffs(2,8)",0.036942467,0,4,5.9084749e-06,""
23,"diff_coffs(2,9)",0.042258052,0,4,-5.1064538e-06,""
24,"diff_coffs(2,10)",5.7651728e-10,0,4,-6.1307495e-09,"*"
25,"diff_coffs(2,11)",2.2146827e-09,0,4,-1.9832774e-08,"*"
26,"diff_coffs(2,12)",0.0016132328,0,4,2.2957286e-06,""
27,"diff_coffs(2,13)",0.092542203,0,4,8.3490381e-06,""
28,"diff_coffs(2,14)",1.3663547e-07,0,4,1.4904987e-05,"*"
29,"diff_coffs(3,1)",2.2881239e-09,0,4,-4.0302886e-07,"*"
30,"diff_coffs(3,2)",3.2611425e-10,0,4,5.21952e-08,"*"
31,"diff_coffs(3,3)",5.7833516e-10,0,4,-1.3600877e-08,"*"
32,"diff_coffs(3,4)",5.1037194e-09,0,4,1.3605612e-07,"*"
33,"diff_coffs(3,5)",0.04406177,0,4,-2.9971963e-05,""
34,"diff_coffs(3,6)",4.7938529e-09,0,4,4.8146473e-06,"*"
35,"diff_coffs(3,7)",0.15395943,0,4,4.2549698e-05,""
36,"diff_coffs(3,8)",1.235138e-09,0,4,2.8289247e-08,"*"
37,"diff_coffs(3,9)",4.6076685e-09,0,4,-1.2572863e-07,"*"
38,"diff_coffs(3,10)",8.729697e-10,0,4,-4.4042588e-07,"*"
39,"diff_coffs(3,11)",1.9805275e-09,0,4,-2.9032006e-07,"*"
40,"diff_coffs(3,12)",0.048023318,0,4,8.098634e-06,""
41,"diff_coffs(3,13)",0.052476402,0,4,-3.0656865e-06,""
42,"diff_coffs(3,14)",1.0639023e-09,0,4,5.9066732e-08,"*"
43,"diff_coffs(4,1)",3.027441e-09,0,4,3.9926493e-08,"*"
44,"diff_coffs(4,2)",4.5013504e-10,0,4,3.6587944e-08,"*"
45,"diff_coffs(4,3)",7.5478246e-10,0,4,7.5808503e-09,"*"
46,"diff_coffs(4,4)",9.6109143e-10,0,4,1.3197839e-07,"*"
47,"diff_coffs(4,5)",5.1392004e-09,0,4,-1.2243436e-07,"*"
48,"diff_coffs(4,6)",1.2099366e-08,0,4,3.2125989e-05,"*"
49,"diff_coffs(4,7)",8.8904706e-10,0,4,6.9414051e-08,"*"
