fishery,age,sel
1,1,0
1,2,0
1,3,0.0098
1,4,0.0185
1,5,0.0633
1,6,0.1986
1,7,0.4248
1,8,0.6696
1,9,0.8603
1,10,0.9669
1,11,1
1,12,0.9881
1,13,0.9565
1,14,0.9217
1,15,0.8924
1,16,0.8726
1,17,0.8635
1,18,0.8632
1,19,0.8683
1,20,0.8764
1,21,0.886
1,22,0.896
1,23,0.9058
1,24,0.915
1,25,0.9233
1,26,0.9307
1,27,0.937
1,28,0.9424
1,29,0.9469
1,30,0.9506
1,31,0.9536
1,32,0.9559
1,33,0.9577
1,34,0.9591
1,35,0.9601
1,36,0.9607
1,37,0.9612
1,38,0.9612
1,39,0.9612
1,40,0.9612
2,1,0
2,2,0
2,3,0.0041
2,4,0.007
2,5,0.0207
2,6,0.0603
2,7,0.1333
2,8,0.2355
2,9,0.3565
2,10,0.4853
2,11,0.6135
2,12,0.7308
2,13,0.8296
2,14,0.9055
2,15,0.9579
2,16,0.9883
2,17,1
2,18,0.998
2,19,0.9878
2,20,0.9734
2,21,0.9574
2,22,0.9414
2,23,0.9263
2,24,0.9127
2,25,0.9007
2,26,0.8903
2,27,0.8816
2,28,0.8743
2,29,0.8683
2,30,0.8634
2,31,0.8595
2,32,0.8565
2,33,0.8542
2,34,0.8524
2,35,0.8511
2,36,0.8503
2,37,0.8497
2,38,0.8497
2,39,0.8497
2,40,0.8497
3,1,0
3,2,0
3,3,0.0043
3,4,0.0074
3,5,0.022
3,6,0.066
3,7,0.1541
3,8,0.2847
3,9,0.4354
3,10,0.5728
3,11,0.6723
3,12,0.7338
3,13,0.7679
3,14,0.7864
3,15,0.7982
3,16,0.8094
3,17,0.8236
3,18,0.8408
3,19,0.8595
3,20,0.8781
3,21,0.896
3,22,0.9126
3,23,0.9275
3,24,0.9407
3,25,0.9522
3,26,0.962
3,27,0.9703
3,28,0.9771
3,29,0.9828
3,30,0.9873
3,31,0.9909
3,32,0.9938
3,33,0.9959
3,34,0.9975
3,35,0.9987
3,36,0.9995
3,37,1
3,38,1
3,39,1
3,40,1
4,1,0
4,2,0
4,3,0.0022
4,4,0.0076
4,5,0.068
4,6,0.3505
4,7,0.6045
4,8,0.5776
4,9,0.4767
4,10,0.4414
4,11,0.5005
4,12,0.6231
4,13,0.7762
4,14,0.9169
4,15,1
4,16,0.9974
4,17,0.9114
4,18,0.7807
4,19,0.6477
4,20,0.532
4,21,0.4388
4,22,0.3665
4,23,0.3113
4,24,0.2695
4,25,0.2378
4,26,0.2137
4,27,0.1953
4,28,0.1813
4,29,0.1705
4,30,0.1623
4,31,0.1561
4,32,0.1514
4,33,0.1479
4,34,0.1453
4,35,0.1435
4,36,0.1422
4,37,0.1414
4,38,0.1414
4,39,0.1414
4,40,0.1414
5,1,0
5,2,0
5,3,2e-04
5,4,2e-04
5,5,3e-04
5,6,6e-04
5,7,0.0016
5,8,0.0048
5,9,0.014
5,10,0.0388
5,11,0.0971
5,12,0.2109
5,13,0.3894
5,14,0.6108
5,15,0.8214
5,16,0.962
5,17,1
5,18,0.9524
5,19,0.862
5,20,0.7605
5,21,0.6649
5,22,0.5824
5,23,0.5142
5,24,0.4592
5,25,0.4155
5,26,0.381
5,27,0.3539
5,28,0.3327
5,29,0.3162
5,30,0.3033
5,31,0.2934
5,32,0.2859
5,33,0.2802
5,34,0.276
5,35,0.273
5,36,0.271
5,37,0.2697
5,38,0.2697
5,39,0.2697
5,40,0.2697
6,1,0
6,2,0
6,3,0.0015
6,4,0.0038
6,5,0.0218
6,6,0.101
6,7,0.2443
6,8,0.388
6,9,0.5069
6,10,0.6268
6,11,0.7751
6,12,0.9164
6,13,1
6,14,0.9928
6,15,0.8958
6,16,0.7396
6,17,0.5656
6,18,0.4118
6,19,0.2955
6,20,0.2137
6,21,0.1579
6,22,0.12
6,23,0.0942
6,24,0.0762
6,25,0.0636
6,26,0.0546
6,27,0.0481
6,28,0.0433
6,29,0.0398
6,30,0.0371
6,31,0.0352
6,32,0.0337
6,33,0.0326
6,34,0.0318
6,35,0.0313
6,36,0.0309
6,37,0.0307
6,38,0.0307
6,39,0.0307
6,40,0.0307
7,1,0
7,2,0
7,3,0.0025
7,4,0.005
7,5,0.0188
7,6,0.0576
7,7,0.1052
7,8,0.1445
7,9,0.184
7,10,0.2452
7,11,0.3534
7,12,0.5103
7,13,0.6954
7,14,0.8674
7,15,0.9789
7,16,1
7,17,0.9323
7,18,0.8133
7,19,0.6859
7,20,0.5716
7,21,0.4774
7,22,0.403
7,23,0.3455
7,24,0.3013
7,25,0.2676
7,26,0.2417
7,27,0.2219
7,28,0.2067
7,29,0.195
7,30,0.186
7,31,0.1792
7,32,0.174
7,33,0.1701
7,34,0.1673
7,35,0.1653
7,36,0.1639
7,37,0.1631
7,38,0.1631
7,39,0.1631
7,40,0.1631
8,1,0
8,2,0
8,3,0.0074
8,4,0.0105
8,5,0.0205
8,6,0.0382
8,7,0.0586
8,8,0.0818
8,9,0.1133
8,10,0.1634
8,11,0.2462
8,12,0.3671
8,13,0.5204
8,14,0.6874
8,15,0.8397
8,16,0.9495
8,17,1
8,18,0.9974
8,19,0.9624
8,20,0.912
8,21,0.8573
8,22,0.8046
8,23,0.757
8,24,0.7155
8,25,0.6804
8,26,0.6511
8,27,0.627
8,28,0.6074
8,29,0.5916
8,30,0.579
8,31,0.5691
8,32,0.5615
8,33,0.5556
8,34,0.5513
8,35,0.5481
8,36,0.546
8,37,0.5446
8,38,0.5446
8,39,0.5446
8,40,0.5446
9,1,0
9,2,0
9,3,9e-04
9,4,0.0015
9,5,0.0044
9,6,0.0117
9,7,0.023
9,8,0.0389
9,9,0.0641
9,10,0.1104
9,11,0.2001
9,12,0.35
9,13,0.5545
9,14,0.7728
9,15,0.9393
9,16,1
9,17,0.9446
9,18,0.8179
9,19,0.6763
9,20,0.5491
9,21,0.4458
9,22,0.3657
9,23,0.3052
9,24,0.2597
9,25,0.2256
9,26,0.2
9,27,0.1807
9,28,0.166
9,29,0.1548
9,30,0.1464
9,31,0.14
9,32,0.1351
9,33,0.1315
9,34,0.1289
9,35,0.1271
9,36,0.1258
9,37,0.125
9,38,0.125
9,39,0.125
9,40,0.125
10,1,0
10,2,0
10,3,0.0262
10,4,0.0374
10,5,0.0762
10,6,0.1522
10,7,0.2527
10,8,0.3628
10,9,0.4742
10,10,0.5838
10,11,0.6906
10,12,0.7881
10,13,0.8699
10,14,0.9323
10,15,0.974
10,16,0.9957
10,17,1
10,18,0.9916
10,19,0.9761
10,20,0.9574
10,21,0.9379
10,22,0.9192
10,23,0.902
10,24,0.8867
10,25,0.8734
10,26,0.8621
10,27,0.8525
10,28,0.8447
10,29,0.8382
10,30,0.833
10,31,0.8289
10,32,0.8256
10,33,0.8231
10,34,0.8213
10,35,0.82
10,36,0.819
10,37,0.8185
10,38,0.8185
10,39,0.8185
10,40,0.8185
11,1,0
11,2,0
11,3,5e-04
11,4,0.001
11,5,0.0052
11,6,0.0251
11,7,0.0794
11,8,0.1794
11,9,0.3213
11,10,0.4917
11,11,0.6727
11,12,0.8343
11,13,0.9483
11,14,1
11,15,0.9904
11,16,0.9319
11,17,0.8421
11,18,0.7418
11,19,0.6474
11,20,0.5657
11,21,0.4981
11,22,0.4435
11,23,0.4
11,24,0.3655
11,25,0.3382
11,26,0.3168
11,27,0.2999
11,28,0.2866
11,29,0.2763
11,30,0.2682
11,31,0.262
11,32,0.2572
11,33,0.2536
11,34,0.251
11,35,0.2491
11,36,0.2478
11,37,0.247
11,38,0.247
11,39,0.247
11,40,0.247
12,1,0
12,2,0
12,3,0.89
12,4,0.96
12,5,1
12,6,0.8411
12,7,0.5761
12,8,0.3717
12,9,0.2488
12,10,0.1813
12,11,0.1412
12,12,0.1137
12,13,0.0928
12,14,0.0759
12,15,0.0618
12,16,0.0504
12,17,0.0416
12,18,0.035
12,19,0.0302
12,20,0.0267
12,21,0.0242
12,22,0.0224
12,23,0.0211
12,24,0.0203
12,25,0.0198
12,26,0.0198
12,27,0.0198
12,28,0.0198
12,29,0.0198
12,30,0.0198
12,31,0.0198
12,32,0.0198
12,33,0.0198
12,34,0.0198
12,35,0.0198
12,36,0.0198
12,37,0.0198
12,38,0.0198
12,39,0.0198
12,40,0.0198
13,1,0
13,2,0.1872
13,3,0.3104
13,4,0.6897
13,5,1
13,6,0.8018
13,7,0.505
13,8,0.3251
13,9,0.2477
13,10,0.2227
13,11,0.2137
13,12,0.2048
13,13,0.1889
13,14,0.1647
13,15,0.1352
13,16,0.1059
13,17,0.0817
13,18,0.0634
13,19,0.0501
13,20,0.0407
13,21,0.0339
13,22,0.0291
13,23,0.0257
13,24,0.0232
13,25,0.0214
13,26,0.0201
13,27,0.0192
13,28,0.0187
13,29,0.0183
13,30,0.0181
13,31,0.0181
13,32,0.0181
13,33,0.0181
13,34,0.0181
13,35,0.0181
13,36,0.0181
13,37,0.0181
13,38,0.0181
13,39,0.0181
13,40,0.0181
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0.0012
14,7,0.0033
14,8,0.0215
14,9,0.108
14,10,0.2669
14,11,0.4075
14,12,0.4849
14,13,0.5219
14,14,0.5502
14,15,0.5766
14,16,0.6029
14,17,0.63
14,18,0.6586
14,19,0.6889
14,20,0.7212
14,21,0.7543
14,22,0.787
14,23,0.818
14,24,0.8467
14,25,0.8727
14,26,0.8958
14,27,0.9159
14,28,0.9332
14,29,0.9479
14,30,0.9601
14,31,0.9703
14,32,0.9785
14,33,0.9852
14,34,0.9904
14,35,0.9945
14,36,0.9977
14,37,1
14,38,1
14,39,1
14,40,1
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0.042
15,7,0.0742
15,8,0.1521
15,9,0.1379
15,10,0.0578
15,11,0.0246
15,12,0.0176
15,13,0.0256
15,14,0.0578
15,15,0.1449
15,16,0.33
15,17,0.6112
15,18,0.8771
15,19,1
15,20,0.9876
15,21,0.9014
15,22,0.7936
15,23,0.6925
15,24,0.609
15,25,0.5447
15,26,0.5447
15,27,0.5447
15,28,0.5447
15,29,0.5447
15,30,0.5447
15,31,0.5447
15,32,0.5447
15,33,0.5447
15,34,0.5447
15,35,0.5447
15,36,0.5447
15,37,0.5447
15,38,0.5447
15,39,0.5447
15,40,0.5447
16,1,0.1106
16,2,0.3426
16,3,1
16,4,0.2921
16,5,0.0121
16,6,7e-04
16,7,2e-04
16,8,6e-04
16,9,0.0058
16,10,0.0464
16,11,0.1629
16,12,0.1782
16,13,0.0547
16,14,0.006
16,15,4e-04
16,16,0
16,17,0
