year,rec,catch,tb,sb,sbf0,dep,f
1952,82432320,36724.53,1884367.5,1279207.5,1288590,0.992718785649431,0.019481
1953,68380895,34067.82,1884650,1280825,1320265,0.970127209310252,0.018083
1954,96589249,23152.19,1889632.5,1285617.5,1344075,0.95650726335956,0.012262
1955,107048878.4,37823,1943952.5,1291420,1366007.5,0.945397444743166,0.019484
1956,56468810,42140.72,1964432.5,1291132.5,1386930,0.930928381389111,0.021457
1957,43073008.9,54711.65,1900672.5,1332892.5,1452695,0.917530865047377,0.028774
1958,89723684,75013.2,1752662.5,1307867.5,1463840,0.8934497622691,0.042629
1959,42821349,65226.7,1651510,1201522.5,1393627.5,0.862154700592518,0.039317
1960,54317169,61425.4,1551747.5,1087592.5,1299010,0.837247211337865,0.039384
1961,55385004.7,57826.1,1470817.5,1049262.5,1270920,0.825592877600478,0.039182
1962,59074010,52739.2,1385042.5,985027.5,1211317.5,0.813186881226433,0.037976
1963,63332494,64511.32,1319782.5,930200,1160097.5,0.801829156601062,0.048749
1964,48771841.2,46547.99,1279367.5,868295,1102102.5,0.787853216919479,0.036293
1965,41740326.8,42301.85,1250950,846525,1068265,0.792429781000033,0.033805
1966,78484442.4,45912.83,1199872.5,840110,1053177.5,0.797690797610089,0.038248
1967,34776594,49220.24,1180552.5,806322.5,1016962.5,0.792873385203486,0.041646
1968,51469701,39482.18,1154325,769947.5,975192.5,0.789533861263289,0.034169
1969,55855720.5,48178.77,1121537.5,772635,973602.5,0.7935836237068,0.042877
1970,52355611,45571.59,1111855,746655,946307.5,0.789019425503866,0.040976
1971,36859763.9,45038.76,1079580,724352.5,922025,0.785610476939345,0.041658
1972,39963115,59305.5,1029197.5,721870,924097.5,0.781162160919167,0.05757
1973,61706589,48318.96,985270,678735,892257.5,0.760694082145569,0.048927
1974,28349345.9,52358.9,953577.5,642680.5,859497.5,0.747739813088462,0.05488
1975,88200253,65642.2,933437.5,619899.25,845035,0.733578194986007,0.07025
1976,31893098,70010.2,941487.5,583895.5,825527.5,0.707299877956822,0.07435
1977,70143597.6,76799.2,928892.5,573232.75,834550,0.686876460367863,0.0826
1978,9426178,63383.4,914595,588896.25,868350,0.678178441872517,0.06931
1979,37796085.8,77520.3,864317.5,575620.75,871240,0.660691370919609,0.08981
1980,54892300,73713.9,803582.5,550718,867992.5,0.634473224135001,0.09152
1981,68414306,68519.7,787085,503240.5,823665,0.610977156975227,0.08704
1982,71999332,82026.5,815150,477917.5,798635,0.59841792558553,0.10068
1983,60827005,84513.5,855240,478921.75,811710,0.590015830777002,0.09886
1984,59459741.8,92046.9,861457.5,510274.25,871677.5,0.585393393772353,0.10686
1985,70390638.9,95530.7,856640,527854.25,934667.5,0.56475083385268,0.11153
1986,53649452,89586.7,875847.5,516670.75,958390,0.539102818268137,0.1023
1987,91195862.8,113641.5,870942.5,517685.25,990852.5,0.522464493958485,0.13044
1988,84875882,101198.3,897120,522214.25,1039505,0.502368194477179,0.11299
1989,75974982,104558.8,945900,520141,1065827.5,0.488016118931065,0.11047
1990,71921575,129565,959590,550586.75,1142497.5,0.481915058895096,0.13501
1991,70897314.2,116487.3,933497.5,567593.75,1202960,0.471830942009709,0.1247
1992,89759642,142989.9,909815,561060.25,1233950,0.454686373029701,0.15704
1993,50532514,123655.9,881437.5,527268.25,1236102.5,0.426557061408742,0.14026
1994,101382458,137352.9,845925,508209.75,1259480,0.403507598373932,0.16255
1995,38352809,121575.3,836467.5,481671.25,1275560,0.377615517890182,0.14536
1996,113475340,117434.4,868145,466333.25,1262942.5,0.36924345328469,0.13537
1997,44318744,150347.1,883860,495479.25,1289235,0.384320352767339,0.17024
1998,110740917,170711.4,841177.5,487116.75,1321870,0.368505791038453,0.20271
1999,74476699,175871.1,792988,462344,1345000,0.343750185873606,0.22242
