age,length,weight,maturity,natmort
 1, 25.7, 0.4,0.001,0.476
 2, 37.9, 1.4,0.001,0.322
 3, 49.0, 2.9,0.001,0.249
 4, 59.1, 4.9,0.001,0.207
 5, 68.3, 7.5,0.002,0.179
 6, 76.6,10.5,0.008,0.160
 7, 84.2,13.8,0.034,0.145
 8, 91.1,17.4,0.099,0.134
 9, 97.3,21.2,0.209,0.126
10,103.0,25.0,0.341,0.119
11,108.2,28.9,0.467,0.113
12,112.9,32.7,0.572,0.108
13,117.1,36.5,0.654,0.104
14,121.0,40.1,0.716,0.101
15,124.5,43.6,0.763,0.098
16,127.7,47.0,0.799,0.096
17,130.6,50.3,0.827,0.094
18,133.3,53.3,0.850,0.092
19,135.7,56.2,0.869,0.090
20,137.9,58.9,0.885,0.089
21,139.9,61.4,0.899,0.087
22,141.7,63.8,0.911,0.086
23,143.3,66.0,0.922,0.085
24,144.8,68.1,0.931,0.084
25,146.1,70.0,0.940,0.084
26,147.4,71.7,0.947,0.083
27,148.5,73.3,0.954,0.082
28,149.5,74.8,0.960,0.082
29,150.4,76.2,0.966,0.081
30,151.3,77.4,0.971,0.081
31,152.0,78.6,0.975,0.080
32,152.7,79.7,0.980,0.080
33,153.4,80.6,0.983,0.080
34,153.9,81.5,0.987,0.079
35,154.5,82.4,0.990,0.079
36,154.9,83.1,0.993,0.079
37,155.4,83.8,0.995,0.079
38,155.8,84.4,0.998,0.078
39,156.1,85.0,0.999,0.078
40,156.4,85.5,1.000,0.078
