"Index","Parameter","Estimate","L_bound","U_bound","Which"
1,"diff_coffs(1,1)",0,0,4,"Lower"
4,"diff_coffs(1,4)",0,0,4,"Lower"
16,"diff_coffs(2,2)",0,0,4,"Lower"
18,"diff_coffs(2,4)",0,0,4,"Lower"
20,"diff_coffs(2,6)",0,0,4,"Lower"
24,"diff_coffs(2,10)",0,0,4,"Lower"
25,"diff_coffs(2,11)",0,0,4,"Lower"
28,"diff_coffs(2,14)",0,0,4,"Lower"
29,"diff_coffs(3,1)",0,0,4,"Lower"
30,"diff_coffs(3,2)",0,0,4,"Lower"
31,"diff_coffs(3,3)",0,0,4,"Lower"
32,"diff_coffs(3,4)",0,0,4,"Lower"
34,"diff_coffs(3,6)",0,0,4,"Lower"
36,"diff_coffs(3,8)",0,0,4,"Lower"
37,"diff_coffs(3,9)",0,0,4,"Lower"
38,"diff_coffs(3,10)",0,0,4,"Lower"
39,"diff_coffs(3,11)",0,0,4,"Lower"
42,"diff_coffs(3,14)",0,0,4,"Lower"
43,"diff_coffs(4,1)",0,0,4,"Lower"
44,"diff_coffs(4,2)",0,0,4,"Lower"
45,"diff_coffs(4,3)",0,0,4,"Lower"
46,"diff_coffs(4,4)",0,0,4,"Lower"
47,"diff_coffs(4,5)",0,0,4,"Lower"
48,"diff_coffs(4,6)",0,0,4,"Lower"
49,"diff_coffs(4,7)",0,0,4,"Lower"
50,"diff_coffs(4,8)",0,0,4,"Lower"
52,"diff_coffs(4,10)",0,0,4,"Lower"
53,"diff_coffs(4,11)",0,0,4,"Lower"
56,"diff_coffs(4,14)",0,0,4,"Lower"
460,"region_rec_diffs(2,113)",-3,-3,3,"Lower"
468,"region_rec_diffs(2,121)",-3,-3,3,"Lower"
469,"region_rec_diffs(2,122)",-3,-3,3,"Lower"
476,"region_rec_diffs(2,129)",-3,-3,3,"Lower"
479,"region_rec_diffs(2,132)",-3,-3,3,"Lower"
480,"region_rec_diffs(2,133)",-3,-3,3,"Lower"
1591,"bs_selcoff_gp:16(16,1,1,5)",-20,-20,7,"Lower"
1631,"bs_selcoff_gp:24(24,1,1,5)",-19.99994,-20,7,NA
1985,"tag_fish_rep(23)",0.99,0,0.99,"Upper"
