year,rec,catch,tb,sb,sbf0,dep,f
1952, 82, 37,1884,1279,1289,0.99,0.02
1953, 68, 34,1885,1281,1320,0.97,0.02
1954, 97, 23,1890,1286,1344,0.96,0.01
1955,107, 38,1944,1291,1366,0.95,0.02
1956, 56, 42,1964,1291,1387,0.93,0.02
1957, 43, 55,1901,1333,1453,0.92,0.03
1958, 90, 75,1753,1308,1464,0.89,0.04
1959, 43, 65,1652,1202,1394,0.86,0.04
1960, 54, 61,1552,1088,1299,0.84,0.04
1961, 55, 58,1471,1049,1271,0.83,0.04
1962, 59, 53,1385, 985,1211,0.81,0.04
1963, 63, 65,1320, 930,1160,0.80,0.05
1964, 49, 47,1279, 868,1102,0.79,0.04
1965, 42, 42,1251, 847,1068,0.79,0.03
1966, 78, 46,1200, 840,1053,0.80,0.04
1967, 35, 49,1181, 806,1017,0.79,0.04
1968, 51, 39,1154, 770, 975,0.79,0.03
1969, 56, 48,1122, 773, 974,0.79,0.04
1970, 52, 46,1112, 747, 946,0.79,0.04
1971, 37, 45,1080, 724, 922,0.79,0.04
1972, 40, 59,1029, 722, 924,0.78,0.06
1973, 62, 48, 985, 679, 892,0.76,0.05
1974, 28, 52, 954, 643, 859,0.75,0.05
1975, 88, 66, 933, 620, 845,0.73,0.07
1976, 32, 70, 941, 584, 826,0.71,0.07
1977, 70, 77, 929, 573, 835,0.69,0.08
1978,  9, 63, 915, 589, 868,0.68,0.07
1979, 38, 78, 864, 576, 871,0.66,0.09
1980, 55, 74, 804, 551, 868,0.63,0.09
1981, 68, 69, 787, 503, 824,0.61,0.09
1982, 72, 82, 815, 478, 799,0.60,0.10
1983, 61, 85, 855, 479, 812,0.59,0.10
1984, 59, 92, 861, 510, 872,0.59,0.11
1985, 70, 96, 857, 528, 935,0.56,0.11
1986, 54, 90, 876, 517, 958,0.54,0.10
1987, 91,114, 871, 518, 991,0.52,0.13
1988, 85,101, 897, 522,1040,0.50,0.11
1989, 76,105, 946, 520,1066,0.49,0.11
1990, 72,130, 960, 551,1142,0.48,0.14
1991, 71,116, 933, 568,1203,0.47,0.12
1992, 90,143, 910, 561,1234,0.45,0.16
1993, 51,124, 881, 527,1236,0.43,0.14
1994,101,137, 846, 508,1259,0.40,0.16
1995, 38,122, 836, 482,1276,0.38,0.15
1996,113,117, 868, 466,1263,0.37,0.14
1997, 44,150, 884, 495,1289,0.38,0.17
1998,111,171, 841, 487,1322,0.37,0.20
1999, 74,176, 793, 462,1345,0.34,0.22
2000,118,163, 746, 425,1359,0.31,0.22
2001, 55,142, 755, 396,1369,0.29,0.19
2002, 97,176, 753, 387,1407,0.28,0.23
2003, 66,156, 735, 381,1465,0.26,0.21
2004,112,211, 714, 375,1492,0.25,0.30
2005, 69,164, 684, 342,1493,0.23,0.24
2006, 79,173, 677, 335,1503,0.22,0.26
2007, 86,167, 639, 333,1533,0.22,0.26
2008, 83,170, 604, 320,1537,0.21,0.28
2009, 91,167, 582, 298,1515,0.20,0.29
2010, 67,137, 577, 276,1510,0.18,0.24
2011, 73,165, 561, 278,1527,0.18,0.29
2012,108,167, 553, 270,1534,0.18,0.30
2013,102,159, 580, 254,1506,0.17,0.27
2014, 61,176, 596, 260,1517,0.17,0.30
2015, 82,154, 574, 279,1575,0.18,0.27
2016, 83,160, 567, 286,1606,0.18,0.28
2017, 86,133, 560, 278,1585,0.18,0.24
2018, 67,157, 571, 275,1566,0.18,0.28
2019, 72,138, 564, 273,1560,0.18,0.24
2020, 82,147, 572, 277,1552,0.18,0.26
2021, 72,140, 550, 283,1528,0.19,0.25
2022, 60,146, 530, 284,1508,0.19,0.28
2023, 81,149, 493, 270,1475,0.18,0.30
2024, 69,157, 451, 234,1445,0.16,0.35
